HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
MD-508,0.134,0.062,0.027,0.015,0.084,,
MD-509,0.233,0.18,0.25,0.333,0,0.273,0.133
MD-510,0.034,0.053,0.056,0.048,0.012,,
MD-511,0,0,0,0.4,0.5,0,0
MD-512,0,0.102,0,0.032,0.08,,
MD-513,0.048,0.125,0.031,0.167,0.105,0.12,0.1
MD-514,,,,,,0.077,0.072
MD-600,0.271,0.33,0.188,0.204,0.195,0.215,0.215
MD-601,0.246,0.185,0.145,0.131,0.169,0.142,0.151
ME-500,0.073,0.137,0.108,0.111,0.12,0.158,0.101
MI-500,0.184,0.093,0.113,0.135,0.11,0.17,0.101
MI-501,0.146,0.145,0.161,0.11,0.15,0.121,0.077
MI-502,0.163,0.175,0.111,0.062,0.076,0.036,0.029
MI-503,0.143,0.068,0.079,0.1,0.049,0.087,
MI-504,0.118,0.183,0.193,0.108,0.074,0.114,0.093
MI-505,0.085,0.063,,0.051,0.074,0.038,0.125
MI-506,0.183,0.228,0.319,0.338,0.16,0.266,0.068
MI-507,0.075,0.07,0.114,0.153,0.191,0.14,0.024
MI-508,0.099,0.125,0.274,0.079,0.128,0.165,0.046
MI-509,0.235,0.21,0.243,0.246,0.117,0.103,0.127
MI-510,0.2,0.106,0.139,0.212,0.057,0.091,0.145
MI-511,0,0.2,0.138,0.056,0.083,0,0
MI-512,,0.125,0.111,0,0,0,0.105
MI-513,0.292,0.182,0.091,0.286,0,,
MI-514,0.303,0.082,0.267,0.339,0.304,0.353,0.297
MI-515,0.145,0.148,0.329,0.277,0.415,0.107,0
MI-516,0.125,0.109,0.2,0.083,0.091,0.25,0.214
MI-517,0.114,0.133,0.106,0,0,0,0
MI-518,0.111,0.091,0,0,0,0,0.059
MI-519,0,0.083,0.067,0.231,0.3,0.25,0.146
MI-523,0.345,0.417,0.432,0.34,0.344,0.217,0.28
MN-500,0.183,0.227,0.219,0.319,0.299,0.212,0.206
MN-501,0.198,0.232,0.286,0.215,0.211,0.186,0.162
MN-502,0.187,0.129,0.135,0.104,0.207,0.182,0.048
MN-503,0.213,0.25,0.274,0.239,0.26,0.213,0.245
MN-504,0.35,0.186,0.191,0.333,0.25,0.178,0.323
MN-505,0.091,0.227,0.264,0.311,0.233,0.171,0.089
MN-506,0.16,0.22,0.133,0.111,0.135,0.037,0.14
MN-508,0.25,0.167,0.067,0.15,0.143,0.087,0.063
MN-509,0.163,0.173,0.199,0.094,0.102,0.107,0.092
MN-511,0.095,0.321,0.206,0.328,0.256,0.212,0.182
MO-500,0.324,0.244,0.385,0.224,0.106,0.106,0.268
