HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
MD-504,159,167,323,358,275,196,269
MD-505,"1,817","1,612","1,342","1,649","1,681",812,986
MD-506,251,240,296,226,176,209,276
MD-507,0,176,139,208,196,,
MD-508,600,604,797,776,711,,
MD-509,449,199,342,247,410,157,217
MD-510,228,162,151,113,161,,
MD-511,334,331,368,407,515,369,291
MD-512,0,461,400,293,274,,
MD-513,820,817,891,988,755,653,512
MD-514,,,,,,586,769
MD-600,782,883,"1,114",933,"1,020","1,026","1,024"
MD-601,"1,649","1,669","1,574","1,511","1,452","1,315","1,385"
ME-500,"4,759","4,015","4,450","4,346","3,912","3,025","3,045"
MI-500,"5,776","6,130","6,356","6,148","6,015","4,518","4,790"
MI-501,"6,919","5,869","6,106","4,836","5,400","3,673","2,894"
MI-502,867,899,690,583,652,563,338
MI-503,"1,479","1,459","1,406","1,202",901,744,0
MI-504,918,"1,052","1,317","1,247","1,717",878,925
MI-505,"1,241","1,461","1,285","1,427","1,165","1,174","1,056"
MI-506,"2,575","2,970","2,466","2,817","3,713","2,689","2,723"
MI-507,"2,468","2,124","1,943","1,047",916,987,648
MI-508,"2,103","1,978","2,037","1,817","1,814","1,297","1,388"
MI-509,"1,402","1,323","1,025",890,983,886,730
MI-510,"1,172","1,190","1,202","1,140","1,124",759,634
MI-511,256,348,296,401,570,114,149
MI-512,517,457,502,395,361,286,427
MI-513,235,218,278,218,178,,
MI-514,756,755,692,688,736,518,609
MI-515,483,587,647,708,631,425,379
MI-516,915,976,806,914,901,685,350
MI-517,672,529,590,591,581,418,529
MI-518,354,485,500,317,403,88,396
MI-519,814,788,818,849,806,604,571
MI-523,521,455,472,356,370,383,333
MN-500,"8,753","8,880","7,520","6,577","5,796","4,750","4,115"
MN-501,"3,200","3,020","3,688","2,241","2,284","2,507","2,607"
MN-502,"1,260","1,160","1,128",972,805,941,"1,102"
MN-503,"1,909","1,757","1,547","1,391","1,240","1,172","1,309"
MN-504,273,341,351,359,420,394,399
MN-505,"1,272","1,331","1,479","1,585","1,144","1,112","1,057"
MN-506,"1,050",950,880,"1,000",855,828,731
MN-508,881,"1,081",927,824,"1,011",845,958
MN-509,"1,483","1,185","1,232","1,187",707,"1,047",956
MN-511,571,503,459,512,488,624,621
MO-500,774,942,"1,443","1,079","1,183",791,706
MO-501,"2,452","2,604","2,328","2,333","1,957","2,768","2,235"
MO-503,658,625,603,492,635,544,751
MO-600,692,752,845,743,869,"1,033","1,289"
MO-602,423,368,332,312,342,320,221
MO-603,875,983,550,446,238,225,527
MO-604K,702,541,,,,,
MO-604M,"4,860","6,267","1,788","1,833","1,838","1,776","1,501"
MO-606,"2,366","2,446","2,369","2,254","2,356","2,096","2,344"
MP-500,,18,42,33,33,83,110
MS-500,"1,271","1,283","1,292","1,188","1,167",964,999
MS-501,"2,404","2,370","2,039","1,700","1,345","1,050",846
MS-503,"1,051",440,691,542,444,424,576
MT-500,"1,400","1,581","1,454","1,089","1,949","1,975","2,310"
NC-500,"1,125","1,235","1,361","1,257","1,178",901,726
NC-501,"1,038","1,054",836,580,584,468,684
NC-502,952,975,839,831,787,643,720
NC-503,"5,222","5,791","5,456","5,761","5,202","4,416","5,498"
NC-504,"2,098","1,732","1,757","2,144","1,396","1,191","1,050"
NC-505,"4,479","4,113","3,371","3,112","2,995","2,938","3,416"
NC-506,991,955,925,876,793,597,501
NC-507,"2,876","3,355","3,170","2,935","2,792","2,168","1,570"
NC-509,500,576,620,592,55,69,351
NC-511,615,551,276,328,296,157,187
NC-513,235,214,196,205,166,222,244
NC-516,259,251,269,212,234,217,184
ND-500,"2,790","2,184","2,059","2,066","1,725","1,481","2,014"
NE-500,"1,973","2,171","2,013","1,757","2,219","2,125","2,102"
NE-501,"4,063","4,599","4,078","3,925","3,419","3,451","3,217"
NE-502,"1,549","1,564","1,448","1,226","1,221","1,150",990
NH-500,"1,939","1,787","1,746","1,997","1,669","1,219","1,473"
NH-501,"1,324","1,538","1,509","1,192","1,295",712,768
NH-502,983,951,805,596,400,338,404
NJ-500,"1,338","1,154","1,802","2,902","2,233",693,693
NJ-501,656,656,617,766,807,523,406
NJ-502,819,877,"1,314","1,208","1,279","1,127",834
NJ-503,"2,929","3,586","3,364","3,248","3,127","1,836","1,697"
NJ-504,"3,964","4,309","4,753","4,456","4,459","3,520","2,820"
NJ-506,"1,695","2,301","2,190","2,368","2,278","1,737","1,350"
NJ-507,754,530,716,734,775,493,462
NJ-508,991,816,817,740,676,499,675
NJ-509,560,677,790,866,642,428,419
NJ-510,131,112,190,364,828,337,404
NJ-511,"1,062","1,124","1,006","1,119",966,576,608
NJ-512,66,12,9,,,0,1
NJ-513,181,277,362,506,469,445,258
NJ-514,"1,727","1,563","1,686","1,734","1,591","1,253","1,132"
NJ-515,"1,013","1,203","1,322","1,271",857,989,835
NJ-516,859,"1,064","1,031",921,905,508,415
NM-500,"2,762","2,798","2,389","2,383","3,714","3,201","3,325"
NM-501,"2,001","1,684","1,793","1,724","1,615","1,189","1,307"
NV-500,"8,582","7,464","9,599","7,383","5,713","7,221","9,943"
NV-501,"1,805","2,179","2,462","2,057",813,"2,589","2,269"
NV-502,629,474,506,618,311,424,417
NY-500,"4,151","4,022","4,085","4,170","3,845","3,184","2,483"
NY-501,747,681,998,749,860,963,"1,123"
NY-502,,,,,,,
NY-503,"1,793","2,171","1,602","1,756","1,646","1,216","1,165"
NY-504,137,109,226,203,182,,
NY-505,"3,239","3,415","3,452","3,382","3,104","2,161","2,020"
NY-507,674,"1,667","1,764","1,356","1,355",808,728
NY-508,"3,184","3,624","4,071","4,024","4,085","3,389","2,751"
NY-510,477,356,389,442,567,409,355
NY-511,0,"1,207","1,565","1,609","1,496","1,481","1,725"
NY-512,687,677,700,795,814,533,427
NY-513,0,191,801,492,583,569,562
NY-514,223,245,226,573,400,450,590
NY-516,57,72,63,202,127,,
NY-518,461,594,663,667,618,636,821
NY-519,53,32,35,15,124,234,133
NY-520,170,187,187,172,140,122,150
NY-522,699,903,909,664,717,531,661
NY-523,575,624,603,513,582,909,859
NY-525,,,,50,"1,478","1,256","1,272"
NY-600,"62,145","62,981","62,739","65,080","61,707","46,485","40,294"
NY-601,843,993,819,"1,119","1,233",948,802
NY-602,"1,016","1,105","1,071","1,198","1,000",821,668
NY-603,"4,174","4,066","4,642","5,482","5,781","4,784","3,261"
NY-604,"3,031","2,883","2,714","2,943","2,911","1,891","1,654"
NY-606,236,235,162,217,198,313,189
NY-607,447,624,633,7,0,,
NY-608,875,"1,019","1,012","1,040",885,612,432
OH-500,"4,273","4,462","4,543","4,551","4,385","3,914","3,733"
OH-501,"1,477","1,308","1,307","1,526","1,312","1,501",520
OH-502,"4,198","3,942","4,363","4,954","3,897","3,997","3,759"
