Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
5%,OH-508,,,4.60%,,,,
5%,NY-607,4.60%,,,,,,
5%,FL-605,,,,,,4.60%,
5%,SC-503,,,,,4.60%,,
5%,AL-503,,,4.60%,,,,
5%,GA-506,,4.60%,,,,,
5%,MN-504,,,4.60%,,,,
5%,FL-510,4.60%,,,,,,
5%,NJ-507,,4.60%,,,,,
5%,NV-502,,,,,,4.70%,
5%,WA-502,,,4.70%,,,,
5%,MA-511,,,4.70%,,,,
5%,OR-505,,,,4.70%,,,
5%,MN-508,,,,,,,4.70%
5%,OR-506,,4.70%,,,,,
5%,VA-503,,4.70%,,,,,
5%,FL-519,,,,4.70%,,,
5%,NV-502,,,4.70%,,,,
5%,NJ-516,,,,,4.70%,,
5%,MD-511,4.70%,,,,,,
5%,MO-600,4.70%,,,,,,
5%,VA-513,,,,,4.70%,,
5%,MO-606,,,,,4.70%,,
5%,MN-509,,4.70%,,,,,
5%,CA-611,,4.70%,,,,,
5%,NH-501,,,,,,,4.70%
5%,CA-506,4.70%,,,,,,
5%,MA-510,,4.70%,,,,,
5%,FL-515,,,,,,4.70%,
5%,IL-508,4.70%,,,,,,
5%,CA-508,,,,,,4.70%,
5%,WA-501,,,,,4.70%,,
5%,MI-503,,,,4.70%,,,
5%,NJ-514,,,,,,,4.70%
5%,NJ-513,,,,,,,4.70%
5%,FL-510,,,,4.80%,,,
5%,IL-516,,,,,,4.80%,
5%,IL-518,,,,4.80%,,,
5%,IL-520,,,,,4.80%,,
5%,MD-510,4.80%,,,,,,
5%,TX-601,4.80%,,,,,,
5%,OH-504,,,,,,4.80%,
5%,MD-503,,,,,,4.80%,
5%,AK-501,,,4.80%,,,,
5%,ID-500,4.80%,,,,,,
5%,NJ-504,,,,4.80%,4.80%,,
5%,NY-514,,,,4.80%,,,
5%,TN-503,,,,4.80%,,,
5%,WA-500,4.80%,,,,,,
5%,MD-502,,,,,,4.80%,
5%,NY-518,,,,,4.80%,,
5%,NC-513,,,,,,,4.80%
5%,MO-606,,,,4.80%,,,
5%,NJ-516,,,,,,4.80%,
5%,SC-501,,,,,,,4.80%
5%,VA-602,,,4.80%,,,,
5%,MD-502,,,,4.80%,,,
5%,NJ-501,,,,4.80%,,,
5%,WA-501,,,,,,,4.90%
5%,TX-607,,,,4.90%,,,
5%,CA-507,,,,,4.90%,,
5%,FL-505,,,4.90%,,,,
5%,MO-602,,,,4.90%,,,
5%,NY-522,,,,,,,4.90%
5%,NY-518,,,,,,4.90%,
5%,NJ-515,,,4.90%,,,,
5%,LA-506,4.90%,,,,,,
5%,SC-500,,,,4.90%,,,
5%,UT-504,4.90%,,,,,,
5%,PA-601,,,,4.90%,,,
5%,OK-502,,,,,4.90%,,
5%,VA-508,4.90%,,,,,,
5%,CA-518,,,,,4.90%,,
5%,NY-501,,,,4.90%,,,
5%,FL-510,,,,,,,4.90%
5%,CA-609,,,,,,4.90%,
5%,MD-505,,4.90%,,,,,
5%,MO-503,,,,,,4.90%,
5%,NJ-510,,,,,4.90%,,
5%,WA-507,,4.90%,,,,,
5%,CA-507,,,,4.90%,,,
5%,MI-502,,,,,4.90%,,
5%,OR-502,,,,4.90%,,,
5%,UT-503,,5.00%,,,,,
5%,LA-503,,5.00%,,,,,
5%,KS-505,5.00%,,,,,,
5%,WA-504,,,,5.00%,,,
5%,OR-502,,,5.00%,,,,
5%,IL-508,,5.00%,,,,,
5%,PA-511,,,,,,,5.00%
5%,PA-510,,,,,,,5.00%
5%,CA-606,,,5.00%,,,,
5%,CO-503,,,,,5.00%,,
5%,IL-500,,,5.00%,,,,
5%,MO-602,,,5.00%,,,,
5%,MD-601,5.00%,,,,,,
5%,PR-503,,5.00%,,,,,
5%,VA-507,,,5.00%,,,,
5%,FL-520,,,,5.00%,,,
5%,GA-506,,,5.00%,,,,
5%,NY-501,,,5.00%,,,,
5%,NY-503,5.00%,,,,,,
5%,TN-500,,,,,,,5.00%
5%,MN-505,,5.00%,,,,,
5%,NM-501,,,,5.10%,,,
5%,CA-514,,,,5.10%,,,
5%,FL-504,,,,,,5.10%,
5%,GA-501,,,5.10%,,,,
5%,TX-607,,,,,,,5.10%
5%,CA-600,5.10%,,,,,,
5%,CA-508,,,,,5.10%,,
5%,MD-501,,,5.10%,,,,
5%,VT-500,,,,,,,5.10%
5%,MD-600,,5.10%,,,,,
5%,TN-509,,5.10%,,,,,
5%,GA-501,,,,,,,5.10%
5%,MD-600,,,,,,,5.10%
5%,PA-601,,5.10%,,,,,
5%,TN-504,,,5.10%,,,,
5%,WA-503,5.10%,,,,,,
5%,PA-603,,,,,,,5.10%
5%,OR-507,,,,,,,5.10%
5%,CA-518,,,,,,,5.20%
5%,PA-508,5.20%,,,,,,
5%,FL-513,5.20%,,,,,,
5%,FL-514,,,,,5.20%,,
5%,MA-511,,,,,,5.20%,
5%,GA-505,5.20%,,,,,,
5%,IL-519,,,,,5.20%,,
5%,TX-603,5.20%,,,,,,
5%,GU-500,,,,,,5.20%,
5%,OR-504,,,,,,,5.20%
5%,MN-503,,,,,5.20%,,
5%,WA-500,,5.20%,,,,,
5%,CO-500,5.20%,,,,,,
5%,MD-601,,,,5.20%,,,
5%,MI-508,,,,,5.20%,,
5%,PA-501,,,,5.20%,,,
5%,DE-500,,,,,,,5.20%
5%,TN-509,,,,5.20%,,,
5%,OK-507,,,5.20%,,,,
5%,MO-501,,,5.20%,,,,
5%,LA-505,,,5.20%,,,,
5%,PA-503,5.20%,,,,,,
5%,CA-514,5.20%,,,,,,
5%,NE-500,,,,,5.20%,,
5%,CA-521,,5.20%,,,,,
5%,OR-505,,,,,,,5.30%
5%,MA-500,,,,,,5.30%,
5%,FL-511,5.30%,,,,,,
5%,FL-606,5.30%,,,,,,
5%,MO-500,,,,,5.30%,,
5%,NY-520,,,,,,5.30%,
5%,VA-502,,5.30%,,,,,
5%,NC-509,,,5.30%,,,,
5%,AR-501,,,,,5.30%,,
5%,IL-515,,,,5.30%,,,
5%,VT-501,,,5.30%,,,,
5%,HI-501,,,,5.30%,,,
5%,PA-508,,,,,,5.30%,
5%,PA-501,,,,,,5.30%,
5%,PA-508,,,,,,,5.30%
5%,CA-522,,5.30%,,,,,
5%,FL-515,5.30%,,,,,,
5%,TN-500,,5.30%,,,5.30%,,
5%,TN-512,5.30%,,,,,,
5%,CA-522,,,,,5.30%,,
5%,SC-501,5.30%,,,,,,
5%,MI-502,5.30%,,,,,,
5%,MN-511,,,,,5.30%,,
5%,LA-507,,,,,,,5.40%
5%,PA-500,,5.40%,,,,,
5%,IL-500,,,,5.40%,,,
5%,PA-512,,,,5.40%,,,
5%,NC-511,,5.40%,,,,,
5%,MN-502,,,,,,5.40%,
5%,VT-500,,,,5.40%,,,
5%,VA-505,,,,,5.40%,,
5%,VT-501,,5.40%,,,,,
5%,MD-601,,,,,5.40%,,
5%,CA-521,,,,,5.40%,,
5%,AZ-500,,,,,,5.40%,
5%,FL-513,,5.40%,,,,,
5%,NY-603,,,5.40%,,,,
5%,NY-501,,,,,5.40%,,
5%,LA-507,,,,,,5.40%,
5%,CA-506,,,,,5.40%,,
5%,VA-501,,,,,,5.40%,
5%,CA-507,,,,,,5.40%,
5%,MN-505,5.40%,,,,,,
5%,VA-505,,,5.40%,,,,
5%,VA-603,,,,,,5.40%,
5%,AL-501,,,,,5.50%,,
5%,WA-501,,,5.50%,,,,
5%,IL-518,,5.50%,,,,,
5%,NJ-500,5.50%,,,,,,
5%,NJ-515,,,,5.50%,,,
5%,MA-506,,,,,,,5.50%
5%,VA-521,,5.50%,,,,,
5%,NY-513,,,,,5.50%,,
5%,MD-504,,,,,,,5.50%
5%,CA-522,,,5.50%,,,,
5%,MN-503,,,,5.50%,,,
6%,MD-511,,,,,5.50%,,
6%,OH-508,,5.50%,,,,,
6%,CA-514,,,,,,,5.50%
6%,TN-509,,,,,,,5.50%
6%,CA-600,,,,,,,5.50%
6%,CA-602,,,,5.50%,,,
6%,FL-515,,,,,5.50%,,
6%,OH-501,,,5.50%,,,,
6%,NY-503,,5.50%,,,,,
6%,ID-500,,,,,,,5.50%
6%,NY-523,5.60%,,,,,,
6%,TN-501,,,,,,5.60%,
6%,WA-503,,,5.60%,,,,
6%,MA-507,,,,5.60%,,,
6%,IN-502,,,,,,,5.60%
6%,MO-500,,,,5.60%,,,
6%,TX-601,,,,,,,5.60%
6%,MA-506,,,,,,5.60%,
6%,AL-501,,,,5.60%,,,
6%,MS-501,,5.60%,,,,,
6%,NY-512,5.60%,,,,,,
6%,WA-502,,,,5.60%,,,
6%,NM-501,5.60%,,,,,,
6%,CO-500,,,,,5.60%,,
6%,MD-501,5.60%,,,,,,
6%,AR-500,,,,,,,5.60%
6%,MO-503,,,,5.60%,,,
6%,VA-507,,,,5.60%,,,
6%,HI-500,,,,5.60%,,,
6%,NJ-503,,5.60%,,,,,
6%,CO-503,,,,,,,5.60%
6%,TN-502,,,,5.60%,,,
6%,FL-520,,5.60%,,,,,
6%,CA-510,5.60%,,,,,,
6%,NY-512,,5.60%,,,,,
6%,MI-502,,,,,,,5.60%
6%,NJ-509,,,,5.60%,,,
6%,TN-501,,5.60%,,,,,
6%,NV-502,,,,,5.60%,,
6%,MD-501,,5.60%,,,,,
6%,NY-518,,,,,,,5.60%
6%,CA-501,,,5.70%,,,,
6%,IL-503,,5.70%,,,,,
6%,TX-701,,,5.70%,,,,
6%,WA-502,,,,,,5.70%,
6%,OK-500,,,5.70%,,,,
6%,MA-500,,,,,5.70%,,
6%,PA-603,,,,5.70%,,,
6%,TN-501,,,,5.70%,,,
6%,MI-523,,,,,5.70%,,
6%,NY-503,,,,,5.70%,,
6%,NJ-516,,5.70%,,,,,
6%,CA-501,,,,,,,5.70%
6%,SC-501,,5.70%,,,,,
6%,TN-501,,,5.70%,,,,
6%,CA-508,,5.70%,,,,,
6%,IN-502,,,,,,5.70%,
6%,VA-600,,,,,5.70%,,
6%,IL-508,,,,,5.70%,,
6%,IL-512,,5.70%,,,,,
6%,MD-506,,,5.70%,,,,
6%,MI-509,,,,,5.70%,,
6%,AL-501,,,,,,5.70%,
6%,MI-504,,,,,,5.70%,
6%,AL-504,,,,,,5.70%,
6%,MI-513,,,,,5.70%,,
6%,NJ-508,,,5.70%,,,,
6%,MN-505,,,,,,,5.70%
6%,MI-513,,,5.70%,,,,
6%,VA-521,,,,5.70%,,,
6%,TN-509,,,5.80%,,,,
6%,MA-506,,,,5.80%,,,
6%,MO-606,,,5.80%,,,,
6%,NY-518,,,,5.80%,,,
6%,NJ-504,,,,,,,5.80%
6%,FL-506,5.80%,,,,,,
6%,MO-602,,,,,,,5.80%
6%,PA-510,5.80%,,,,,,
6%,MN-501,,,5.80%,,,,
6%,FL-513,,,5.80%,,,,
6%,TX-600,,,5.80%,,,,
6%,NJ-501,,,5.80%,,,,
6%,MD-505,,,,5.80%,,,
6%,PA-500,,,,,5.80%,,
6%,PA-509,,,,,,5.80%,
6%,CA-508,,,,,,,5.80%
6%,VA-508,,,5.80%,,,,
6%,CA-521,,,,5.90%,,,
6%,NJ-508,5.90%,,,,,,
6%,GA-508,5.90%,,,,,,
6%,MO-606,,,,,,5.90%,
6%,MO-606,,,,,,,5.90%
6%,NY-604,,,5.90%,,,,
6%,MD-501,,,,5.90%,,,
6%,CA-509,,,,,5.90%,,
6%,VI-500,,5.90%,,,,,
6%,MN-503,,,,,,5.90%,
6%,HI-500,,5.90%,,,,,
6%,FL-505,,,,,,5.90%,
6%,FL-501,5.90%,,,,,,
6%,CA-506,,,,5.90%,,,
6%,VA-604,,,,,,,5.90%
6%,IL-519,,,5.90%,,,,
6%,HI-501,,,,,,,5.90%
6%,MD-505,,,5.90%,,,,
6%,CA-514,,,,,5.90%,,
6%,MA-502,,,,,,,5.90%
6%,NY-604,,,,,,,5.90%
6%,MS-500,,5.90%,,,,,
6%,MS-500,,,,,,6.00%,
6%,WA-502,,,,,,,6.00%
6%,WA-500,,,,6.00%,,,
6%,NJ-503,,,,,,,6.00%
6%,PA-600,6.00%,,,,,,
6%,CA-602,,6.00%,,,,,
6%,CA-501,,,,,,6.00%,
6%,FL-602,,,6.00%,,,,
6%,VI-500,,,,6.00%,,,
6%,TN-502,,,,,,6.00%,
6%,IL-501,,,,,6.00%,,
6%,OR-505,6.00%,,,,,,
6%,NC-516,,,,,,,6.00%
6%,NY-510,,,,6.00%,,,
6%,LA-502,,,,,6.00%,,
6%,WA-502,,,,,6.00%,,
6%,VT-500,,,6.00%,,,,
6%,OK-507,6.00%,,,,,,
6%,KY-500,,,,,6.10%,,
6%,MO-500,,,6.10%,,,,
6%,WA-504,6.10%,,,,,,
6%,MA-509,,,,6.10%,,,
6%,MD-510,,,6.10%,,,,
6%,NC-503,,,6.10%,,,,
6%,KY-502,,6.10%,,,,,
6%,MI-509,,,,,,6.10%,
6%,MS-500,6.10%,,,,,,
6%,NC-503,,,,,,6.10%,
6%,NY-607,,,6.10%,,,,
6%,MA-507,,,,,,6.10%,
6%,PA-601,6.10%,,,,,,
6%,CO-503,,,,,,6.10%,
6%,MO-501,,,,,,6.10%,
6%,WA-500,,,6.10%,,,,
6%,MI-506,,,,,6.10%,,
6%,LA-500,,,6.10%,,,,
6%,NC-513,6.10%,,,,,,
6%,VA-521,,,,,,6.10%,
6%,NY-603,,6.10%,,,,,
6%,TX-604,,,,,,6.10%,
6%,AR-500,,,6.10%,,,,
6%,NH-501,,,6.10%,,,,
6%,LA-505,6.10%,,,,,,
6%,NC-509,,,,,,6.10%,
6%,KY-500,6.10%,,,,,,
6%,MS-500,,,6.10%,,,,
6%,LA-508,6.10%,,,,,,
6%,GA-506,6.10%,,,,,,
6%,FL-606,,,,,,,6.20%
6%,MA-509,,,,,,,6.20%
6%,NY-523,,,,,,6.20%,
6%,IN-502,,,,,6.20%,,
6%,FL-520,,,,,6.20%,,
6%,CA-514,,,,,,6.20%,
6%,MO-600,,,6.20%,,,,
6%,AL-505,6.20%,6.20%,,,,,
6%,MA-509,,6.20%,,,,,
6%,NY-512,,,,,6.20%,,
6%,VA-600,,,6.20%,,,,
6%,IL-507,6.20%,,,,,,
6%,TX-500,,6.20%,,,,,
6%,MA-500,,,,,,,6.20%
6%,GA-504,6.20%,,,,,,
6%,CA-511,6.20%,,,,,,
6%,VT-500,,,,,,6.20%,
6%,VA-600,,,,,,,6.20%
6%,CA-602,,,,,,6.20%,
6%,MO-501,,,,,6.20%,,
6%,OR-502,,,,,,,6.20%
6%,ID-501,,,,,6.20%,,
6%,CA-614,6.30%,,,,,,
6%,IL-506,,,6.30%,,,,
6%,CA-600,,,,,,6.30%,
6%,MD-601,,,6.30%,,,,
6%,KY-500,,,,,,,6.30%
6%,PA-504,6.30%,,,,,,
6%,IL-519,,,,,,6.30%,6.30%
6%,UT-504,,6.30%,,,,,
6%,MA-509,,,,,6.30%,,
6%,MI-517,,,,6.30%,,,
6%,NY-604,,,,6.30%,,,
6%,NY-512,,,,,,,6.30%
6%,CA-614,,,,,,6.30%,
6%,OK-505,,6.30%,,,,,
6%,CA-522,,,,,,,6.30%
6%,MI-523,,,,,,6.30%,
6%,CA-604,,,,,6.30%,,
6%,NC-501,,6.30%,,,,,
6%,CA-600,,,,6.30%,,,
6%,NY-503,,,,6.30%,,,
6%,PA-506,,6.30%,,,,,
6%,NC-502,,,,,,,6.30%
6%,FL-511,,6.30%,,,,,
6%,VA-600,,,,6.30%,,,
6%,TN-504,,,,,,,6.40%
6%,MD-501,,,,,,6.40%,
6%,MO-600,,,,6.40%,,,
6%,OH-501,,,,,6.40%,,
6%,TX-503,,,,,6.40%,,
6%,FL-501,,,,6.40%,,,
6%,CA-517,,,,,,6.40%,
6%,GA-507,,,,,,,6.40%
6%,TN-503,,,,,6.40%,,
6%,WA-504,,,,,,6.40%,
6%,AR-500,,,,,,6.40%,
6%,IL-519,,6.40%,,,,,
6%,CO-500,,,,6.40%,,,
6%,FL-501,,,,,,,6.40%
6%,NY-523,,,,,,,6.40%
6%,TX-601,,,,,,6.40%,
6%,TN-512,,,,6.40%,,,
6%,ID-501,,,6.40%,,,,
6%,KY-500,,,,6.40%,,,
6%,NC-502,,,,,,6.40%,
6%,UT-503,6.40%,,,,,,
6%,TN-502,,,,,,,6.40%
6%,MD-506,,6.40%,,,,,
6%,ID-501,,6.40%,,,,,
6%,MA-506,,,,,6.40%,,
6%,FL-512,,,,6.40%,,,
6%,MD-510,,,,,6.40%,,
6%,CA-506,,,,,,,6.40%
6%,VA-521,,,,,6.40%,,
6%,MI-504,6.40%,,,,,,
6%,CT-503,,,,6.40%,,,
6%,NM-501,,,,,,6.40%,
6%,IL-501,,,,6.40%,,,
6%,CA-600,,,6.40%,,,,
6%,MI-515,,,,6.50%,,,
6%,OK-507,,6.50%,,,,,
6%,PR-503,,,,6.50%,,,
6%,FL-511,,,6.50%,,,,
6%,IN-503,,,,6.50%,,,
6%,PA-600,,,,,,6.50%,
6%,IL-512,,,6.50%,,,,
6%,WI-502,,,,,,6.50%,
6%,MD-501,,,,,,,6.50%
6%,FL-509,,,,,,,6.50%
6%,FL-509,,6.50%,,,,,
6%,OK-500,,,,6.50%,,,
6%,PA-506,,,,,6.50%,,
6%,TX-600,,,,,6.50%,,
6%,FL-515,,,,,,,6.50%
6%,SC-503,,,6.50%,,,,
6%,TX-607,,,,,6.50%,,
6%,WA-502,6.50%,,,,,,
7%,IL-512,,,,6.50%,,,
7%,MI-503,,,,,6.50%,,
7%,FL-505,,,,,,,6.50%
7%,MS-500,,,,,6.50%,,
7%,MD-501,,,,,6.50%,,
7%,PA-502,6.50%,,,,,,
7%,DC-500,,,6.50%,,,,
7%,NC-502,,,,6.50%,,,
7%,VA-503,,,,,,6.50%,
7%,LA-502,6.50%,,,,,,
7%,CA-508,,,,6.50%,,,
7%,NY-503,,,6.50%,,,,
7%,AZ-500,,,,,,,6.50%
7%,WA-502,,6.50%,,,,,
7%,OK-505,,,,6.60%,,,
7%,FL-605,,,,,6.60%,,
7%,FL-510,,,,,,6.60%,
7%,PA-500,6.60%,,,,,,
7%,FL-513,,,,,,6.60%,
7%,NY-601,6.60%,,,,,,
7%,GA-505,,,,,6.60%,,
7%,NC-505,6.60%,,,,,,
7%,NJ-516,,,6.60%,,,,
7%,IL-512,,,,,,,6.60%
7%,HI-500,6.60%,,,,,,
7%,AZ-500,,,6.60%,,,,
7%,GU-500,6.60%,,,,,,
7%,MA-511,,,,,,,6.60%
7%,NC-503,,,,,6.60%,,
7%,TN-504,,6.60%,,,,,
7%,FL-519,,,,,,,6.60%
7%,WI-502,,6.60%,,,,,
7%,CA-506,,,6.60%,,,,
7%,IN-503,,6.60%,,,,,
7%,NJ-502,,,,,,,6.60%
7%,WA-501,,6.60%,,,,,
7%,FL-520,,,6.60%,,,,
7%,MN-500,,6.60%,,,,,
7%,CA-609,,6.60%,,,,,
7%,MA-507,,,,,,,6.60%
7%,CA-600,,,,,6.60%,,
7%,OH-501,,,,6.70%,,,
7%,CA-600,,6.70%,,,,,
7%,MD-510,,,,6.70%,,,
7%,MI-523,6.70%,,,,,,
7%,DC-500,,6.70%,,,,,
7%,MN-505,,,,6.70%,,,
7%,FL-504,,6.70%,,,,,
7%,MN-505,,,,,6.70%,,
7%,IL-520,,,,,,6.70%,
7%,OH-501,,6.70%,,,,,
7%,DC-500,6.70%,,,,,,
7%,MI-506,,,,6.70%,,,
7%,TN-509,,,,,6.70%,,
7%,CA-502,,,,,,6.70%,
7%,ID-501,6.70%,,,,,,
7%,MO-501,,,,,,,6.70%
7%,NY-603,,,,,6.70%,,
7%,CA-522,,,,6.70%,,,
7%,CA-518,,,,6.70%,,,
7%,MO-600,,,,,,6.70%,
7%,NJ-502,,,,,6.70%,,
7%,CA-609,,,,,6.70%,,
7%,NJ-507,6.70%,,,,,,
7%,GA-501,6.80%,,,,,,
7%,LA-500,,,,6.80%,,,6.80%
7%,CA-608,,6.80%,,,,,
7%,IL-520,,6.80%,,,,,
7%,CA-509,,,,,,,6.80%
7%,GA-505,,,,,,6.80%,
7%,MO-600,,6.80%,,,,,
7%,KY-500,,,,,,6.80%,
7%,CA-604,,6.80%,,,,,
7%,WI-503,6.80%,,,,,,
7%,MN-509,,,,,,,6.80%
7%,MD-503,,,6.80%,,,,
7%,NY-507,,,,6.80%,,,
7%,WA-503,,,,6.80%,,,
7%,CA-507,,,,,,,6.80%
7%,VT-500,,6.80%,,,,,
7%,NC-501,,,,,,6.80%,
7%,MA-511,,6.80%,,,,,
7%,MN-505,,,,,,6.80%,
7%,TN-510,,,,,6.80%,,
7%,NY-503,,,,,,6.80%,
7%,TX-500,6.80%,,,,,,
7%,CA-609,,,,,,,6.80%
7%,MN-502,,,,,,,6.80%
7%,FL-503,,,,,6.90%,,
7%,GA-504,,,6.90%,,,,
7%,PA-506,,,6.90%,,,,
7%,CA-509,,6.90%,,,,,
7%,MI-506,,,6.90%,,,,
7%,WI-502,,,,,6.90%,,
7%,MI-509,,,,,,,6.90%
7%,CT-503,,,6.90%,,,,
7%,IA-501,,,6.90%,,,,
7%,VA-604,,6.90%,6.90%,,,,
7%,PA-603,,,,,6.90%,,
7%,IN-503,,,6.90%,,,,
7%,CO-503,,,,6.90%,,,
7%,TX-604,,,6.90%,,,,
7%,NH-501,,,,6.90%,,,
7%,ID-500,,6.90%,,,,,
7%,NC-504,,,,6.90%,,,
7%,VA-502,,,,6.90%,,,
7%,AL-504,,7.00%,,,,,
7%,AR-508,,,7.00%,,,,
7%,NJ-503,,,,,,7.00%,
7%,CA-505,,,,7.00%,,,
7%,CA-505,,,7.00%,,,,
7%,NJ-516,,,,,,,7.00%
7%,AR-500,,,,,7.00%,,
7%,CA-509,,,,,,7.00%,
7%,TX-503,,7.00%,,,,,
7%,PA-505,,7.00%,,,,,
7%,FL-501,,,,,,7.00%,
7%,FL-515,,,7.00%,,,,
7%,HI-500,,,7.00%,,,,
7%,AL-506,,7.00%,,,,,
7%,VA-507,,,,,,7.00%,
7%,CA-609,,,,7.00%,,,
7%,OK-502,,,7.00%,,,,
7%,HI-501,,,,,7.00%,,
7%,PA-510,,,,,,7.00%,
7%,OH-507,,,7.00%,,,,
7%,CA-604,,,,,,,7.10%
7%,KY-502,,,7.10%,,,,
7%,NM-501,,,,,7.10%,,
7%,PA-605,,,,,7.10%,,
7%,MD-507,,,7.10%,,,,
7%,PA-505,,,,,,,7.10%
7%,VA-503,,,,,,,7.10%
7%,MD-505,7.10%,,,,,,
7%,NC-502,,,,,7.10%,,
7%,NY-601,,,,7.10%,,,
7%,PA-500,,,,,,7.10%,
7%,CA-607,,7.10%,,,,,
7%,PA-510,,7.10%,,,,,
7%,OH-501,,,,,,7.10%,
7%,VA-521,7.10%,,,,,,
7%,MI-515,,,7.10%,,,,
7%,NE-500,,,,7.10%,,,
7%,CA-514,,,7.10%,,,,
7%,FL-517,7.10%,,,,,,
7%,GA-505,,,,7.10%,,,
7%,NY-504,,,,7.10%,,,
7%,TN-510,,,7.10%,,,,
7%,CA-512,,,,7.10%,,,
7%,OH-501,7.10%,,,,,,
7%,FL-506,,,,,,,7.20%
7%,MN-501,,,,,,,7.20%
7%,AR-501,,,,,,,7.20%
7%,OH-504,,,,,,,7.20%
7%,ME-500,,,,,,7.20%,
7%,TX-607,,,,,,7.20%,
7%,GA-508,,7.20%,,,,,
7%,HI-501,,7.20%,,,,,
7%,PR-503,,,,,,7.20%,
7%,GU-500,,,,,7.20%,,
7%,VT-501,,,,,,,7.20%
7%,NY-513,,,,,,,7.20%
7%,OR-502,,,,,7.20%,,
7%,AL-504,,,,7.20%,,,
7%,PA-504,,,,7.30%,,,
7%,NY-513,,,,,,7.30%,
7%,IA-501,,,,,7.30%,,
7%,NY-603,,,,7.30%,,,
7%,IL-516,7.30%,,,,,,
7%,CA-602,,,,,7.30%,,
7%,MO-501,7.30%,,,,,,
7%,LA-509,,,,,,7.30%,
7%,TX-601,,,,7.30%,,,
7%,FL-505,,,,7.30%,,,
7%,NY-525,,,,,,,7.30%
7%,IA-501,,,,7.30%,,,
7%,CT-505,,,,,7.30%,,
7%,NC-503,,,,7.30%,,,
7%,FL-509,,,,7.30%,,,
7%,GA-500,,,7.30%,,,,
7%,TX-603,,,7.30%,,,,
7%,MN-501,,,,7.30%,,,
7%,FL-518,,,,,,,7.30%
7%,WI-502,,,7.30%,,,,
7%,MN-506,,,,7.30%,,,
7%,MN-503,,7.30%,,,,,
7%,MN-509,,,,,,7.30%,
7%,TN-506,,,,,,,7.30%
7%,PA-508,,,7.30%,,,,
7%,PA-504,,,7.40%,,,,
7%,CA-522,,,,,,7.40%,
7%,NJ-500,,,,,7.40%,,
7%,OH-507,,,,7.40%,,,
7%,TX-607,,,7.40%,,,,
7%,NY-512,,,,7.40%,,,
7%,MS-500,,,,,,,7.40%
7%,MA-503,7.40%,,,,,,
7%,NY-501,,,,,,7.40%,
7%,GU-500,,7.40%,,,,,
7%,MO-500,7.40%,,,,,,
7%,NM-501,,,7.40%,,,,
7%,IN-502,,,,7.40%,,,
7%,FL-511,,,,,,,7.40%
7%,TX-503,7.40%,,,,,,
7%,SD-500,,7.40%,,,,,
7%,NC-501,,,,,,,7.40%
7%,CA-602,,,,,,,7.40%
7%,TX-503,,,,,,7.40%,
7%,CA-503,,,,7.40%,,,
7%,MA-500,,,,7.50%,,,
7%,CA-521,,,,,,7.50%,
7%,NJ-510,,,,,,7.50%,
7%,NY-514,,,7.50%,,,,
7%,NE-502,,7.50%,,,,,
7%,OK-502,,,,7.50%,,,
7%,NM-500,,,,7.50%,,,
7%,CA-502,,,,7.50%,,,
7%,IA-501,,7.50%,,,,,
8%,NY-511,,,,,7.50%,,
8%,DC-500,,,,7.50%,,,
8%,MA-508,,7.50%,,,,,
8%,NY-508,,,7.50%,,,,
8%,TN-500,,,,7.50%,,,
8%,GU-500,,,,,,,7.50%
8%,MN-501,,,,,7.50%,,
8%,IL-511,,,,,,,7.50%
8%,CA-501,,,,7.50%,,,
8%,CA-504,,,7.50%,,,,
8%,CA-503,,,,,7.50%,,
8%,HI-501,7.50%,,,,,,
8%,FL-512,,,7.50%,,,,
8%,VA-505,,,,,,,7.50%
8%,TN-501,,,,,,,7.50%
8%,CA-521,,,,,,,7.50%
8%,OH-507,,7.50%,,,,,
8%,FL-602,,7.50%,,,,,
8%,WA-503,,7.50%,,,,,
8%,MI-503,,7.60%,,,,,
8%,NJ-504,,,,,,7.60%,
8%,CO-500,,,7.60%,,,,
8%,MN-509,,,,7.60%,,,
8%,TN-512,,,,,7.60%,,
8%,WA-508,,,,7.60%,,,
8%,TN-504,,,,,,7.60%,
8%,FL-602,7.60%,,,,,,
8%,FL-501,,,7.60%,,,,
8%,VA-501,,,,,,,7.60%
8%,CA-609,,,7.60%,,,,
8%,ID-501,,,,7.60%,,,
8%,CA-500,,,,7.60%,,,
8%,NY-602,7.60%,,,,,,
8%,OR-500,7.60%,,,,,,
8%,CA-609,7.60%,,,,,,
8%,NC-502,,7.60%,,,,,
8%,MI-515,,,,,,,7.60%
8%,SD-500,7.60%,,,,,,
8%,PA-505,,,,,,7.60%,
8%,SC-502,7.60%,,,,,,
8%,VA-513,,,,7.70%,,,
8%,MI-523,,,,,,,7.70%
8%,MI-500,,,,7.70%,,,
8%,CA-505,,,,,,7.70%,
8%,LA-507,,,,,7.70%,,
8%,NE-502,,,7.70%,,,,
8%,CA-504,,,,,,,7.70%
8%,FL-605,,,,,,,7.70%
8%,MO-501,,7.70%,,,,,
8%,TX-601,,,7.70%,,,,
8%,CA-518,,,7.70%,,,,
8%,FL-509,,,7.70%,,,,
8%,MI-513,,7.70%,,,,,
8%,MI-515,,,,,7.70%,,
8%,GA-500,,,,,,,7.70%
