HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
MD-511,0.5,0.42,0.315,0.4,0.653,0.769,1
MD-512,,0.068,,0.192,,,
MD-513,,,0.864,0.813,0.581,0.669,0.894
MD-514,,,,,,1,0.481
MD-600,0.941,1,0.931,0.89,0.955,0.97,1
MD-601,0.487,0.478,0.431,0.647,0.5,0.393,0.638
ME-500,0.477,0.619,0.679,0.625,0.677,0.566,0.677
MI-500,0.688,0.705,0.855,0.805,0.951,0.881,0.816
MI-501,0.42,0.408,0.598,0.584,0.249,0.516,0.803
MI-502,,,,,1,0.915,0.56
MI-503,0.962,0.871,0.913,0.97,0.889,0.4,
MI-504,0.785,0.824,0.915,0.948,0.809,0.81,0.725
MI-505,0.514,0.127,0.125,0.093,0.046,0.618,0.252
MI-506,0.288,0.3,0.645,0.427,0.491,0.546,0.692
MI-507,0.991,0.996,0.925,0.943,0.846,0.362,0.71
MI-508,0.389,0.241,0.345,0.47,0.584,0.601,0.473
MI-509,0.612,0.577,0.5,0.313,0.316,0.399,0.461
MI-510,0.957,0.804,0.846,,,,
MI-511,0.953,1,,,,,
MI-512,0.947,0.857,0.886,0.902,0.697,0.706,0.743
MI-513,0.583,,,,,,
MI-514,0.75,0.86,0.818,0.806,1,0.714,0.455
MI-515,,,,,,,
MI-516,0.8,0.511,0.95,0.802,0.36,0.113,0.622
MI-517,0.433,0.554,0.583,0.444,0.333,0.353,0.386
MI-518,1,1,1,1,0.877,0.857,0.805
MI-519,,,,0.6,0.37,0.592,0.359
MI-523,,,,1,1,0,1
MN-500,0.708,0.438,0.607,0.925,0.833,0.417,0.462
MN-501,0.386,0.51,0.507,0.66,0.566,0.587,0.654
MN-502,1,1,1,0.955,0.625,0.686,0.622
MN-503,0.809,0.484,0.737,0.863,0.672,0.795,0.695
MN-504,,,,,,,
MN-505,0.8,0.752,0.473,0.67,0.371,0.333,0.886
MN-506,0.814,0.767,0.102,0.829,0.727,0.371,0.707
MN-508,0.37,0.452,0.639,0.955,0.212,,0.944
MN-509,0.966,0.853,0.806,0.724,0.462,0.564,0.61
MN-511,,,,,,,
MO-500,0,0.144,0.96,0.466,0.645,0.815,0.99
MO-501,,0.069,0.336,0.43,0.413,0.446,0.355
MO-503,,0.429,0.583,0.161,0.316,0.137,0.029
MO-600,,,0.11,0.311,0.271,0.16,0.158
MO-602,,,,,0.073,0.241,0.387
MO-603,,,0.854,0.815,0.786,0.878,0.591
MO-604K,,0.39,,,,,
MO-604M,0.652,0.747,0.786,0.534,0.488,0.363,0.619
MO-606,0.4,0.642,0.914,0.539,0.407,0.533,0.329
MP-500,,,,,,,
MS-500,,1,,1,0.958,0.08,1
MS-501,0.38,0.447,0.614,0.622,0.896,0.921,0.835
MS-503,1,0.238,0.834,0.895,0.919,0.818,0.83
MT-500,0.5,0.059,0,,0.633,0.727,0.304
NC-500,0.467,,,,,0,0.46
NC-501,0.573,0.469,0.455,0.369,0.2,0.431,0.533
NC-502,,,,0.647,0.545,0.333,0.649
NC-503,0.532,0.278,0.389,0.778,0.808,0.662,0.72
NC-504,0.5,0.625,0.417,0.14,0.292,0.352,0.429
NC-505,0.644,0.661,0.236,0.248,0.37,0.502,0.616
NC-506,0.361,,1,0.605,0.463,0.145,0.303
NC-507,0.667,0.122,0.182,0.54,0.4,0.328,0.464
NC-509,,,,,,,0.328
NC-511,0.024,0.202,0.56,,,,0.041
NC-513,0.211,0,,,,,0.793
NC-516,,,,,,,0.538
ND-500,1,0.851,0.914,0.633,0.828,0.388,0.721
NE-500,1,0.8,0.571,0.889,0.75,1,
NE-501,0.633,0.65,0.473,0.67,0.239,0.447,0.379
NE-502,0.393,0.578,0.483,0.763,0.423,0.551,0.421
NH-500,0.675,0.716,0.45,0.561,0.584,0.616,0.65
NH-501,0.61,0.577,0.4,0.25,0.103,0.209,0.179
NH-502,,,1,1,1,0.7,0.429
NJ-500,0.455,0.668,0.804,0.625,0.591,0.485,0.485
NJ-501,,,,0.543,0.412,0.441,
NJ-502,0.67,0.25,0.447,0.604,0.222,0,
NJ-503,0.114,0.301,0.233,0.23,0.137,0.17,0.217
NJ-504,0.432,0.174,0.085,0.085,0.08,0.364,0.5
NJ-506,0.438,0.246,0.047,0.07,0.151,0.542,0.583
NJ-507,0.897,0.714,0.853,0.731,0.614,0.421,0.687
NJ-508,0.598,0.4,0.023,0.049,0.28,0.54,0.556
NJ-509,0.463,0.042,0.109,0.157,0.21,0.188,0.364
NJ-510,0.497,0.106,0.167,0.5,0.379,0.12,0.069
NJ-511,0.218,0.036,0.036,0.023,0.046,0.271,0.415
NJ-512,0.75,0.083,0,,,,
NJ-513,0.776,0.462,0.448,0.4,0.5,0.429,
NJ-514,0.963,0.656,0.441,0.395,0.632,0.373,0.581
NJ-515,0.692,0.603,0.54,0.143,0.256,0.444,0.5
NJ-516,1,0.5,0.571,0.385,0.632,0.684,0.833
NM-500,0.075,0.549,0.794,0.813,0.541,0.141,0.443
NM-501,,0.621,0.139,0.248,0.182,0.431,0.725
NV-500,0.386,0.224,0.075,0.105,0.124,0.237,0.103
NV-501,0.198,0.2,0.322,0.147,0.15,0.143,0.287
NV-502,0.777,1,0.929,0.629,0.554,0.421,0.641
NY-500,1,0.356,0.615,0.639,0.464,0.78,0.667
NY-501,0.674,,0.5,0.778,,,
NY-502,,,,,,,
NY-503,0.979,0.59,0.543,0.149,0.029,0.072,0.06
NY-504,,,,,,,
NY-505,0.257,0.213,0.231,0.481,0.606,0.623,0.659
NY-507,,,,,,0.302,0.258
NY-508,0.435,0.53,0.588,0.684,0.582,0.514,0.539
NY-510,,,,,,,
NY-511,,,,,,,
NY-512,0.845,0.806,0.706,0.667,0.723,0.593,0.419
NY-513,,,,,,,
NY-514,,,,,1,0.827,0.507
NY-516,0,0,0.4,0.75,0.5,,
NY-518,,,,,0.3,0.441,0.388
NY-519,,,,,,,
NY-520,,,,,,,
NY-522,,,,,,,
NY-523,,,1,0.615,0.467,0.412,0.54
NY-525,,,,,0.556,0.722,0.7
NY-600,0.495,0.497,0.228,0.375,0.495,0.662,0.541
NY-601,,,,,,,
NY-602,,,,,1,,
NY-603,,0.106,0.167,0.849,0.973,0.833,0.991
NY-604,0.774,0.469,0.764,0.621,0.753,0.335,0.146
NY-606,,,,,,,0
NY-607,,,,,,,
NY-608,,,,,,0.219,0.375
OH-500,0.491,0.614,0.612,0.488,0.482,0.435,0.449
OH-501,0.211,0.291,0.236,0.133,0.155,0.408,0.541
OH-502,0.538,0.488,0.453,0.68,0.695,0.785,0.788
OH-503,0.551,0.75,0.636,0.646,0.472,0.313,0.392
OH-504,0.299,0.459,0.218,0.345,0.548,0.541,0.552
OH-505,0.727,0.802,0.81,0.772,0.87,0.832,0.72
OH-506,1,0.455,0.432,0.41,0.379,0.238,0.581
OH-507,0.505,0.485,0.349,0.331,0.619,0.521,0.567
OH-508,0.068,0.542,0.589,0.5,0.477,0.791,0.932
OK-500,,,,,,,0
OK-501,0.417,0.112,0.138,0.052,0.048,0.04,0.028
OK-502,,0.12,0.131,0.222,0.696,0.552,0.433
OK-503,0.944,0.973,1,1,0.5,1,0.638
OK-504,,,,,,,
OK-505,0.889,,0.722,0.636,0.765,0.714,0.4
OK-506,0.689,0.286,1,,,,0.039
OK-507,0.842,0,0.176,1,,0.828,1
OR-500,1,0.032,0.104,0.092,0.099,0.126,0.16
OR-501,0.793,0.812,0.446,0.329,0.585,0.866,0.095
OR-502,0,0,0.484,0.289,0.216,0.256,0.353
OR-503,0.727,0.75,0.571,0.021,0.012,0.002,0.047
OR-504,,,,,,1,0.909
OR-505,0.526,0.379,0.446,0.509,0.12,0.303,0.271
OR-506,0.169,0.117,0.153,0.223,0.129,0.258,0.782
OR-507,,,,,,,0.86
PA-500,,0.018,0.173,0.002,0.007,0.019,0.005
PA-501,,,,0.667,,,0.162
PA-502,0.4,0.5,0.523,0.529,0.836,0.409,0.653
PA-503,,,,,0.765,,0.754
PA-504,0.68,0.65,0.469,0.634,0.562,0.516,0.581
PA-505,0.929,0.827,0.935,,,,0.949
PA-506,0.622,0.5,0.826,0.956,0.545,0.8,0.942
PA-508,0.9,1,0.476,0.833,0.833,0.762,0.933
PA-509,0.667,0.333,0.276,0.507,0.56,0.543,0.702
PA-510,,0.5,0.397,0.706,0.903,0.655,0.418
PA-511,,,0.13,0.627,0.675,0.444,0.11
PA-512,,,,,,,0.615
PA-600,,0.039,0.256,0.292,0.288,0.671,0.68
PA-601,,,0.5,0.752,0.638,0.745,0.681
PA-603,,,,,,,0.949
PA-605,0.705,0.851,0.645,0.8,0.5,1,
PR-502,0.451,0.404,0.461,0.49,0.419,0.456,0.522
PR-503,0.766,0.542,0.547,0.656,0.71,0.607,0.377
RI-500,0.356,0.346,0.321,0.388,0.409,0.398,0.541
SC-500,0.282,0.319,0.772,0.59,0.491,0.637,0.481
SC-501,0.127,0.145,0.36,0.453,0.66,0.358,0.08
SC-502,0.259,0.089,0.273,0.274,0.414,0.38,0.195
SC-503,0.75,0.549,0.525,0.577,0.419,0.67,0.539
SD-500,0.333,1,0.448,0.581,1,0.4,0.161
TN-500,0.033,0.348,0.13,0.082,0.19,0.568,0.096
TN-501,0.694,0.633,0.596,0.629,0.994,0.648,0.796
TN-502,0.638,0.811,0.764,0.206,0.223,0.27,0.401
TN-503,,,1,,,,1
TN-504,0.144,0.167,0.537,0.66,0.253,0.215,0.436
TN-506,0.352,0.222,0.597,0.382,0.116,0.182,0.2
TN-507,0.907,0.84,0.798,0.741,0.726,0.706,0.772
TN-509,,,,,,0.25,0.172
TN-510,,,0.643,,0,0.727,0.485
TN-512,0.625,1,0.5,0.449,0.454,0.61,0.502
TX-500,0.805,0.548,0.228,0.225,0.375,0.437,0.252
TX-503,0.047,0.122,0.043,0.137,0.17,0.166,0.163
TX-600,0.988,0.674,0.36,0.125,0.507,0.33,0.241
TX-601,0.107,0.193,0.528,0.148,0.225,0.497,0.426
TX-603,0.52,0.568,0.787,0.497,0.681,0.697,0.674
TX-604,0.624,0.57,0.5,0.25,0.286,0.385,0.438
TX-607,0.672,0.258,0.401,0.381,0.581,0.208,0.346
TX-611,,,0.5,,,1,0.414
TX-624,,1,1,,,,
TX-700,0.381,0.164,0.451,0.23,0.317,0.261,0.258
TX-701,,,,,,,
UT-500,0.095,0.099,0.022,0.006,0.01,0.01,0.097
UT-503,0.5,0.262,0.302,0.021,0.082,0.043,0.033
UT-504,1,0,0,0.389,0.137,0.05,0.178
VA-500,0.063,0.519,0.552,0.296,0.494,0.66,0.638
VA-501,0.923,0.573,0.496,0.548,0.48,0.522,0.505
VA-502,0.643,0.606,0.507,0.492,0.456,0.409,0.313
VA-503,0.451,0.471,0.453,0.409,0.513,0.554,0.599
VA-504,1,,,0.037,,,
VA-505,,0.484,0.593,0.619,0.824,1,0.697
VA-507,0.338,0.438,0.705,0.789,0.736,0.721,0.632
VA-508,,,,1,0.647,0.6,0.688
VA-513,,,,,0.463,0.533,0.516
VA-514,0.552,0.68,0.45,0.603,0.493,0.664,0.708
VA-521,1,0.4,0.267,0.773,0.883,0.683,0.77
VA-600,0.163,0.127,0.593,0.299,0.179,0.194,0.15
VA-601,0.428,0.392,0.328,0.332,0.54,0.543,0.497
VA-602,0.813,0.286,0.269,0.25,0.357,0.513,0.353
VA-603,,0.25,0.409,0.4,1,0.857,1
VA-604,,0.5,0,0.333,0.247,0.402,0.423
VI-500,,,,,,,
VT-500,0.675,0.7,0.674,0.849,0.784,0.757,0.719
VT-501,0.182,0.087,0.426,0.419,0.5,,0.889
WA-500,0.168,0.27,0.309,0.511,0.627,0.739,0.705
WA-501,0.021,0.108,0.292,0.228,0.302,0.458,0.448
WA-502,0.791,0.657,0.561,0.718,0.419,0.598,0.326
WA-503,,0.045,0.1,0.204,0.112,0.281,0.094
WA-504,,0.193,0.571,0.35,0.311,0.292,0.44
WA-507,,0.083,,,,,
WA-508,0.353,0.339,0.514,0.469,0.327,0.335,0.192
WI-500,0.675,0.674,0.63,0.661,0.702,0.627,0.585
WI-501,0.224,0.233,0.237,0.308,0.295,0.366,0.416
WI-502,0.833,0.285,0.586,0.414,0.44,0.44,0.493
WI-503,0.603,0.844,0.665,0.672,0.47,0.339,0.222
WV-500,0.647,0.737,0.608,0.684,0.642,0.669,0.79
WV-501,0.831,0.594,0.498,0.887,0.81,0.91,0.728
WV-503,0.819,0.9,0.767,0.729,0.735,,1
WV-508,0.631,0.5,0.69,0.647,0.582,0.787,0.686
WY-500,0.768,0.678,0.721,0.719,0.543,0.716,0.659
