HUD CoC Number,2019,2020,2021
PA-600,0.075,0.09,0.121
PA-601,0.073,0.053,0.041
PA-603,0.061,0.019,0.049
PA-605,0,0.039,0.041
PR-502,0,0,0
PR-503,0,0,0
RI-500,0.171,0.127,0.053
SC-500,0.182,0.112,0.106
SC-501,0,0,0.068
SC-502,0.085,0.104,0.126
SC-503,0.029,0.014,0.053
SD-500,0.2,0.25,0.087
TN-500,0.438,0,0.667
TN-501,0.05,0.056,0
TN-502,0.083,0.166,0.183
TN-503,0.007,0.015,0
TN-504,0.097,0.153,0.029
TN-507,0,0.006,0
TN-509,0,0.211,0.074
TN-510,0.176,0.047,0.02
TN-512,0.125,,
TX-500,0.055,0.005,0.019
TX-503,0.084,0.07,0.064
TX-600,0.141,0.146,0.133
TX-601,0.191,0.256,0.2
TX-603,0.083,0.052,0.056
TX-607,0.22,0.166,0.173
TX-611,0.599,0.047,0.1
TX-700,0.271,0.179,0.239
UT-500,0.082,0.063,0.03
UT-503,0.093,0,0
UT-504,0.017,0.017,0.143
VA-500,0.064,0.117,0.264
VA-501,0.117,0.081,0.049
VA-503,0,0.087,0.059
VA-504,,0,
VA-505,0.174,0.094,0
VA-507,0,0.074,0
VA-521,,,0
VA-600,1,0,
VA-601,0.083,0.25,0.016
VA-603,0,0.125,0.143
VA-604,0.25,0,0
VI-500,0.103,0.28,0
VT-500,0.044,0.026,0.053
VT-501,0,0.091,0
WA-500,0.194,0.096,0.053
WA-501,0.054,0.065,0.078
WA-502,0.078,0.071,0.082
WA-503,0.092,0.113,0.153
WA-504,0.053,0.089,0.029
WA-508,0.198,0.194,0.172
WI-500,0.051,0.045,0.105
WI-501,0.066,0.03,0.026
WI-502,0.108,0.149,0.047
WI-503,0.031,0.394,0
WV-500,0,0.048,0.275
WV-503,0,0,0
WV-508,0.008,0,0.007
WY-500,0.695,0.03,0.1
