HUD CoC Number,2019,2020,2021
WA-503,0.17,0.13,0.21
WA-504,0.01,0.04,0.03
WA-508,0.12,0.04,0.03
WI-500,0.04,0.05,0.06
WI-501,0.01,0,0
WI-502,0,0,0.15
WI-503,0.03,0.02,0.06
WV-500,0.02,0.02,0.04
WV-501,0,0,0
WV-503,0.03,0.02,0
WV-508,0.05,0.03,0.06
WY-500,0.01,0.05,0.05
