HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
IN-503,0.459,0.472,0.391,0.374,0.46,0.335,0.378
KS-502,0.483,0.336,0.262,0.171,0.174,0.242,0.194
KS-503,0.52,0.247,0.415,0.375,0.24,0.403,0.47
KS-505,0.138,0.234,0.394,0.509,0.553,0.436,0.571
KS-507,0.22,0.275,0.141,0.218,0.221,0.467,0.324
KY-500,0.273,0.346,0.285,0.367,0.311,0.253,0.266
KY-501,0.318,0.259,0.392,0.414,0.396,0.352,0.345
KY-502,0.03,0.455,0.289,0.277,0.328,0.33,0.263
LA-500,0.366,0.274,0.327,0.301,0.222,0.304,0.56
LA-502,0.243,0.278,0.259,0.18,0.282,0.318,0.372
LA-503,0.329,0.204,0.351,0.423,0.48,0.381,0.444
LA-505,0.412,0.57,0.261,0.342,0.314,0.331,0.302
LA-506,0.415,0.286,0.447,0.524,0.521,0.659,0.431
LA-507,0.213,0.329,0.349,0.209,0.211,0.253,0.143
LA-508,0.2,0.286,,,,,
LA-509,,0.413,0.253,0.25,0.219,0.356,0.28
MA-500,0.364,0.585,0.358,0.394,0.22,0.22,0.208
MA-502,0.211,0.231,0.833,0.75,0.875,,0.636
MA-503,0,0.783,0.688,0.848,0.5,0.167,0.973
MA-504,0.395,0.388,0.326,0.147,0.425,0.282,0.297
MA-505,0.6,0.604,0.402,0.522,0.479,0.441,0.537
MA-506,0.447,0.357,0.355,0.346,0.314,0.398,0.299
MA-507,0.408,0.448,0.531,0.342,0.255,0.246,0.325
MA-508,,0.5,0.333,0.314,,,
MA-509,0.286,0.8,0.367,0.267,0.5,0.324,0.469
MA-510,0.455,0.125,0.345,0.476,0.2,,
MA-511,0.574,0.586,0.429,0.6,0.56,0.603,0.5
MA-515,0.786,0.75,0.577,0.655,0.588,0.6,0.593
MA-516,0.652,0.493,0.41,0.471,0.426,0.424,0.435
MA-517,0.407,0.6,0.326,0.297,,,
MA-519,0.5,1,,0.214,0.9,0.786,0.714
MD-500,,0.34,0.152,0.348,0.333,,
MD-501,0.498,0.44,0.41,0.414,0.412,0.449,0.4
MD-502,0.25,0.417,0.417,0.368,0.353,0.333,
MD-503,0.422,0.343,0.458,0.303,0.37,0.156,0.156
MD-504,1,0.667,0.75,0.4,0.8,0.5,0.25
MD-505,0.391,0.411,0.227,0.208,0.157,0.086,0.139
MD-506,0.297,0.524,0.405,0.318,0.366,0.4,0.545
MD-507,,,,,,,
MD-508,0.343,0.144,0.101,0.128,0.161,,
MD-509,0.5,0.42,0.389,0.485,0.5,0.364,0.222
MD-510,0.069,0.053,0.056,0.095,0.024,,
MD-511,0.333,0.417,0.8,0.6,0.5,0.2,0.5
MD-512,0.371,0.306,0.286,0.484,0.4,,
MD-513,0.381,0.75,0.313,0.833,0.579,0.64,0.7
MD-514,,,,,,0.205,0.13
MD-600,0.429,0.478,0.338,0.313,0.299,0.495,0.468
MD-601,0.607,0.395,0.289,0.356,0.415,0.325,0.349
ME-500,0.374,0.436,0.422,0.465,0.457,0.513,0.494
MI-500,0.322,0.26,0.208,0.269,0.203,0.301,0.22
MI-501,0.333,0.288,0.363,0.308,0.374,0.405,0.367
MI-502,0.203,0.221,0.259,0.134,0.144,0.19,0.125
MI-503,0.643,0.75,0.553,0.467,0.171,0.174,
MI-504,0.391,0.465,0.357,0.264,0.175,0.243,0.301
MI-505,0.383,0.288,,0.487,0.222,0.212,0.281
MI-506,0.511,0.409,0.541,0.444,0.442,0.531,0.404
MI-507,0.358,0.408,0.329,0.347,0.517,0.395,0.415
MI-508,0.338,0.285,0.407,0.251,0.317,0.338,0.22
MI-509,0.367,0.392,0.369,0.445,0.297,0.247,0.254
MI-510,0.443,0.394,0.329,0.409,0.124,0.273,0.306
MI-511,0.5,0.2,0.207,0.111,0.083,0,0
MI-512,,0.375,0.556,0.182,0.556,0.118,0.474
MI-513,0.375,0.182,0.091,0.714,0,,
MI-514,0.354,0.176,0.267,0.339,0.339,0.382,0.351
MI-515,0.304,0.174,0.4,0.369,0.509,0.286,0.3
MI-516,0.125,0.182,0.35,0.417,0.182,0.25,0.357
MI-517,0.257,0.267,0.191,0.103,0.1,0.133,0.133
MI-518,0.222,0.182,0.1,0,0,0.143,0.059
MI-519,0.556,0.083,0.067,0.423,0.4,0.292,0.244
MI-523,0.483,0.583,0.486,0.509,0.438,0.348,0.44
MN-500,0.428,0.412,0.422,0.527,0.506,0.573,0.509
MN-501,0.405,0.391,0.486,0.473,0.431,0.613,0.485
MN-502,0.302,0.206,0.241,0.261,0.5,0.282,0.212
MN-503,0.44,0.539,0.476,0.427,0.51,0.551,0.571
MN-504,0.45,0.256,0.383,0.361,0.364,0.333,0.484
MN-505,0.197,0.5,0.396,0.467,0.465,0.28,0.253
MN-506,0.28,0.4,0.4,0.222,0.243,0.148,0.28
MN-508,0.5,0.417,0.467,0.5,0.619,0.348,0.438
MN-509,0.342,0.274,0.324,0.141,0.294,0.27,0.315
MN-511,0.214,0.377,0.317,0.443,0.372,0.365,0.436
MO-500,0.541,0.533,0.538,0.424,0.213,0.447,0.415
MO-501,0.213,0.324,0.408,0.402,0.409,0.393,0.441
MO-503,0.173,0.157,0.191,0.6,0.389,0.4,0.379
MO-600,0.265,0.128,0.175,0.364,0.343,0.299,0.305
MO-602,0.333,0.268,0.256,0.186,0.394,0.295,0.303
MO-603,0.155,0.124,0.121,0.08,0.281,0.216,0.355
MO-604K,0.213,0.227,,,,,
MO-604M,0.41,0.255,0.189,0.275,0.34,0.247,0.347
MO-606,0.367,0.267,0.167,0.283,0.292,0.257,0.301
MP-500,,,,,,,
MS-500,0.241,0.171,0.132,0.113,0.083,0.103,0.063
MS-501,0.243,0.258,0.259,0.304,0.336,0.262,0.319
MS-503,0.75,0.576,0.63,0.238,0.348,0.613,0.298
MT-500,0.112,0.154,0.145,0.481,0.22,0.153,0.264
NC-500,0.307,0.287,0.202,0.185,0.212,0.135,0.224
NC-501,0.417,0.4,0.733,0.6,0.25,0.571,0.846
NC-502,0.473,0.407,0.29,0.294,0.414,0.481,0.429
NC-503,0.314,0.283,0.318,0.332,0.306,0.432,0.332
NC-504,0.388,0.348,0.386,0.38,0.407,0.37,0.304
NC-505,0.554,0.363,0.353,0.457,0.358,0.331,0.32
NC-506,0.565,0.525,0.687,0.625,0.473,0.476,0.674
NC-507,0.567,0.527,0.537,0.356,0.291,0.189,0.407
NC-509,0.625,0.286,0.179,0.045,0.188,0.241,0.579
NC-511,0.143,0.419,0.519,0.765,0.76,0.375,0.15
NC-513,0,0.167,0.25,0.038,0.625,0.2,0.524
NC-516,0.104,0.194,0.121,0.407,0.29,0.3,0.75
ND-500,0.245,0.245,0.37,0.261,0.304,0.289,0.324
NE-500,0.58,0.592,0.515,0.509,0.545,0.389,0.357
NE-501,0.41,0.398,0.331,0.408,0.356,0.345,0.332
NE-502,0.36,0.387,0.258,0.224,0.412,0.344,0.296
