Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
8%,VA-508,,,,,,,7.80%
8%,MO-503,,,,,,7.80%,
8%,FL-515,,,,,,,7.80%
8%,SC-503,,7.80%,,,,,
8%,TN-501,,7.80%,,,,,
8%,MA-503,,7.80%,,,,,
8%,MO-600,,,7.80%,,,,
8%,KY-502,,7.90%,,,,,
8%,OK-505,,,,7.90%,,,
8%,NJ-503,,7.90%,,,,,
8%,IA-500,7.90%,,,,,,
8%,MO-602,,,,7.90%,,,
8%,NJ-500,7.90%,,,,,,
8%,NY-522,,,,7.90%,,,
8%,NY-520,,,,,,7.90%,
8%,VA-502,,7.90%,,,,,
8%,PA-500,,7.90%,,,,,
8%,GA-501,,,,,,7.90%,
8%,TN-503,,,,7.90%,,,
8%,MD-502,7.90%,,,,,,
8%,NY-522,,,,,,,7.90%
8%,MA-511,,,7.90%,,,,
8%,NY-523,7.90%,,,,,,
8%,NH-501,,,,,,,7.90%
8%,MN-505,,,7.90%,,,,
8%,CA-609,,,,,,8.00%,
8%,CA-501,,,,,,,8.00%
8%,MN-504,,,8.00%,,,,
8%,NY-522,,8.00%,,,,,
8%,MN-503,,,,8.00%,,,
8%,MA-511,,,,,,8.00%,
8%,MO-500,,,,8.00%,,,
8%,WA-501,,,,,,,8.00%
8%,FL-503,,,,8.00%,,,
8%,CA-506,,,,,8.00%,,
8%,VA-507,,,,8.00%,,,
8%,PA-512,,,,,8.00%,,
8%,GU-500,8.00%,,,,,,
8%,NJ-504,,,,8.00%,8.00%,,
8%,WA-500,8.00%,,,,,,
8%,NY-522,,,8.00%,,,,
8%,MA-507,,,,8.00%,,,
8%,MI-513,,,8.00%,,,,
8%,HI-500,,,,,,8.00%,
8%,PR-503,,,8.00%,,,,
8%,MA-507,,,8.10%,,,,
8%,LA-503,,,8.10%,,,,
8%,AR-501,,,8.10%,,,,
8%,MA-507,,,,,8.10%,,
8%,TX-603,8.10%,,,,,,
8%,IL-507,8.10%,,,,,,
8%,PA-503,8.10%,,,,,,
8%,CA-506,,,,8.10%,,,
8%,MI-504,,,,,,8.10%,
8%,MO-606,,,8.10%,,,,
8%,NY-607,8.10%,,,,,,
8%,CA-518,,,,,,8.10%,
8%,NJ-508,,,8.10%,,,,
8%,NY-501,,8.10%,,,,,
8%,MA-510,,8.10%,,,,,
8%,MD-503,,,,,,8.10%,
8%,NJ-509,8.10%,,,,,,
8%,IL-509,8.20%,,,,,,
8%,IL-516,,,,,,8.20%,
8%,NM-501,8.20%,,,,,,
8%,KY-500,,8.20%,,,,,
8%,MI-502,,,,,,,8.20%
8%,HI-501,,,,,,8.20%,
8%,MN-511,,,,,8.20%,,
8%,SC-501,,,,,,,8.20%
8%,IL-518,,8.20%,,,,,
8%,PA-508,8.20%,,,,,,
8%,CA-508,8.20%,,,,,,
8%,CA-527,,,,,,,8.20%
8%,SC-500,8.20%,,,,,,
8%,VT-500,,,,,8.20%,,
8%,CA-523,,,,,,,8.20%
8%,NY-514,,,8.20%,,,,
8%,NY-522,,,,,8.20%,,
8%,LA-507,8.20%,,,,,,
8%,TX-701,,,,,8.20%,,
8%,OR-502,,,8.20%,,,,
8%,NY-501,,,,,8.20%,,
8%,IL-515,,,,8.20%,,,
8%,TX-600,,,8.20%,,,,
8%,MI-504,8.30%,,,,,,
8%,CA-600,8.30%,,,,,,
8%,NY-512,,,,,,8.30%,
8%,NV-502,,,,,8.30%,,
8%,VI-500,,,,8.30%,,,
8%,MO-606,,,,8.30%,,,
8%,VT-500,,,,8.30%,,,
8%,NJ-509,,,,8.30%,,,
8%,LA-507,,,,,,8.30%,
8%,MD-601,,,,8.30%,,,
8%,NJ-513,,,,,,,8.30%
8%,CO-500,,,,,8.30%,,
8%,VA-507,,8.30%,,,,,
8%,FL-513,,,,,,,8.30%
8%,VA-602,,,8.30%,,,,
8%,MO-602,,,,,,,8.30%
8%,NY-513,,,8.30%,,,,
8%,WA-501,,,8.30%,,,,
8%,TN-502,,,,8.30%,,,
8%,CA-611,,8.30%,,,,,
8%,SC-501,,8.30%,,,,,
8%,IL-503,,8.40%,,,,,
8%,AL-501,,,,8.40%,,,
8%,MD-600,,,,,,8.40%,
8%,UT-504,8.40%,,,,,,
8%,ID-500,,8.40%,,,,,
8%,CO-505,,,,,,8.40%,
8%,NJ-513,,,,,8.40%,,
8%,NY-604,,,,,,,8.40%
8%,VA-505,,,8.40%,,,,
8%,TN-512,,,,,8.40%,,
8%,MO-606,,,,,,,8.40%
8%,MO-602,,,,,,8.40%,
8%,CO-500,,,,,,8.40%,
8%,SC-503,,,,,,8.40%,
8%,CA-508,,,,,,,8.50%
8%,MD-504,,8.50%,,,,,
8%,WA-507,,8.50%,,,,,
8%,GA-502,,,,,,8.50%,
8%,NM-501,,,,8.50%,,,
8%,OK-507,,8.50%,,,,,
8%,TN-501,8.50%,,,,,,
8%,FL-520,,,8.50%,,,,
8%,VA-501,,,,,8.50%,,
8%,GU-500,,,8.50%,,,,
9%,IA-500,,,,,,,8.50%
9%,NC-502,,,,,,,8.50%
9%,NJ-515,,,,,,8.50%,
9%,CA-530,,,,,8.50%,,
9%,NJ-515,8.50%,,,,,,
9%,CA-514,,,,,,,8.50%
9%,PA-506,8.50%,,,,,,
9%,VA-600,,,,,,,8.50%
9%,CA-501,,,8.50%,,,,
9%,VT-500,,,,,,,8.50%
9%,OR-505,8.50%,,,,,,
9%,CA-612,,8.60%,,,,,
9%,LA-505,8.60%,,,,,,
9%,CA-510,8.60%,,,,,,
9%,TN-501,,,,,,8.60%,
9%,NY-602,8.60%,,,,,,
9%,PA-504,,8.60%,,,,,
9%,GA-501,,,,,,,8.60%
9%,MA-500,,,,,8.60%,,
9%,GA-501,,,8.60%,,,,
9%,MD-601,8.60%,,,,,,
9%,MO-603,,,,,,,8.60%
9%,FL-512,,,,8.70%,,,
9%,FL-510,,,,,,,8.70%
9%,MA-506,,,,,,8.70%,
9%,VA-521,,,,8.70%,,,
9%,MD-504,,,,,,,8.70%
9%,NJ-504,,,,,,,8.70%
9%,WA-504,,,,,,8.70%,
9%,CA-508,,8.70%,,,,,
9%,VA-508,,8.70%,,,,,
9%,NJ-501,8.70%,,,,,,
9%,LA-502,,,,,8.70%,,
9%,TN-504,,,8.70%,,,,
9%,CA-501,8.70%,,,,,,
9%,FL-602,,,8.70%,,,,
9%,CA-614,8.80%,,,,,,
9%,TN-509,,,8.80%,,,,
9%,FL-505,,,,8.80%,,,
9%,MI-517,,,,,8.80%,,
9%,LA-503,,,,8.80%,,,
9%,PA-504,8.80%,,,,,,
9%,LA-500,,,8.80%,,,,
9%,CA-514,,,,,,8.80%,
9%,VA-600,,,8.80%,,,,
9%,TN-503,,,,,,,8.80%
9%,WA-502,,,8.80%,,,,
9%,MO-600,,8.80%,,,,,
9%,MD-600,,,,,,,8.80%
9%,AK-501,,,8.80%,,,,
9%,FL-606,,,,8.80%,,,
9%,GA-504,,,8.80%,,,,
9%,AZ-500,,,,,,8.80%,
9%,NJ-503,,,,,,,8.80%
9%,OR-502,,,,8.80%,,,
9%,NJ-502,,,,,8.80%,,
9%,FL-515,,,,,8.80%,,
9%,VA-507,,,8.80%,,,,
9%,VA-521,,,8.90%,,,,
9%,FL-505,,,,,8.90%,,
9%,VA-602,,,,,,8.90%,
9%,PR-503,,8.90%,,,,,
9%,WA-507,8.90%,,,,,,
9%,OH-501,,,8.90%,,,,
9%,MO-500,,,,,8.90%,,
9%,FL-511,,8.90%,,,,,
9%,TX-624,,,,,,,8.90%
9%,CA-514,,,,8.90%,,,
9%,VA-521,,,,,,8.90%,
9%,PA-509,,,,,,9.00%,
9%,NJ-510,,,,,,9.00%,
9%,NY-516,9.00%,,,,,,
9%,PA-508,,,,,9.00%,,
9%,VA-503,,9.00%,,,,,
9%,FL-504,,,,,,9.00%,
9%,VA-600,,,,,9.00%,,
9%,NJ-516,,9.00%,,,,,
9%,SC-501,,,,,,9.00%,
9%,FL-503,,,,,9.00%,,
9%,TN-502,,,,,,9.00%,
9%,VA-603,,,,,,9.00%,
9%,MN-503,,9.00%,,,,,
9%,NY-518,,,,9.00%,,,
9%,IL-500,,,,,,,9.00%
9%,FL-509,,,,,,,9.00%
9%,KY-500,9.00%,,,,,,
9%,PA-603,,,,,,9.00%,
9%,MA-506,,,,,,,9.10%
9%,TX-607,,,,9.10%,,,
9%,NY-603,,,9.10%,,,,
9%,PA-500,,,,,9.10%,,
9%,AL-506,,,,,,,9.10%
9%,IL-516,9.10%,,,,,,
9%,MA-509,,,,9.10%,,,
9%,MD-508,9.10%,,,,,,
9%,MD-509,,,,,,,9.10%
9%,MO-503,,,9.10%,,,,
9%,MO-602,,,,,9.10%,,
9%,TX-604,,,,,9.10%,,
9%,TX-624,,9.10%,,,,,
9%,VT-500,,,,,,9.10%,
9%,VT-501,9.10%,,,,,,
9%,OR-502,,,,,,,9.10%
9%,VA-503,,,9.10%,,,,
9%,NY-523,,,,,,9.10%,
9%,NY-525,,,,,,9.10%,
9%,NE-500,,,,,9.10%,,
9%,MS-500,,,,,9.10%,,
9%,MD-501,9.10%,,,,,,
9%,HI-501,,,,,,,9.10%
9%,FL-519,,,,,,,9.20%
9%,WA-503,,,9.20%,,,,
9%,MD-501,,,9.20%,,,,
9%,MA-500,,,,,,,9.20%
9%,NY-516,,,9.20%,,,,
9%,IL-501,,,9.20%,,,,
9%,MO-600,,,,9.20%,,,
9%,TN-504,,9.20%,,,,,
9%,MD-506,,,,9.20%,,,
9%,IL-512,,9.20%,,,,,
9%,VA-600,,,,9.20%,,,
9%,KY-500,,,,,,9.20%,
9%,LA-500,,,,,,,9.20%
9%,LA-507,,,,,,,9.20%
9%,FL-511,,,,,,,9.20%
9%,FL-520,,9.20%,,,,,
9%,CA-603,,,,,,,9.30%
9%,FL-510,,,,,9.30%,,
9%,AL-504,,9.30%,,,,,
9%,MN-500,9.30%,,,,,,
9%,FL-510,,,,9.30%,,,
9%,MA-506,,,,9.30%,,,
9%,CA-602,,,,9.30%,,,
9%,IN-502,,,,,,,9.30%
9%,CA-521,,,,,,9.30%,
9%,SC-503,,,,,9.30%,,
9%,NJ-502,,,,,,,9.30%
9%,CA-509,,,9.30%,,,,
9%,NY-603,,9.30%,,,,,
9%,CA-514,,,9.40%,,,,
9%,VA-521,,,,,9.40%,,
9%,NY-514,,9.40%,,,,,
9%,TN-504,,,,,,,9.40%
9%,VA-507,,,,,,9.40%,
9%,VT-501,,,,,,,9.40%
9%,SC-500,,,,9.40%,,,
9%,TN-509,,,,9.40%,,,
9%,AR-500,,,,,,,9.40%
9%,OH-508,,9.40%,,,,,
9%,MO-600,9.40%,,,,,,
9%,CA-527,,,,,9.40%,,
9%,TX-604,,,9.40%,,,,
9%,CA-514,,,,,9.40%,,
9%,CA-508,,,9.40%,,,,
9%,FL-503,,,,,,9.40%,
9%,SC-501,9.50%,,,,,,
9%,IL-508,9.50%,,,,,,
9%,VT-501,,9.50%,,,,,
9%,PA-501,,,,9.50%,,,
9%,CA-521,,,,,,,9.50%
9%,GA-505,,,,,9.50%,,
10%,PA-511,9.50%,,,,,,
10%,WA-500,,,9.50%,,,,
10%,AL-506,9.50%,,,,,,
10%,AR-508,,,,,9.50%,,
10%,FL-606,,9.50%,9.50%,,,,
10%,GA-505,,,,9.50%,,,
10%,MA-511,,9.50%,,,,,
10%,NC-502,,,,,,9.50%,
10%,NY-606,,,,9.50%,,,
10%,NJ-515,,,,9.50%,,,
10%,KY-500,,,,,9.60%,,
10%,TN-503,,,,,9.60%,,
10%,VA-604,,,,,,,9.60%
10%,FL-509,,9.60%,,,,,
10%,NJ-508,9.60%,,,,,,
10%,MA-506,,,,,9.60%,,
10%,GA-504,9.60%,,,,,,
10%,CA-602,,9.60%,,,,,
10%,NY-512,,9.60%,,,,,
10%,IN-502,,,,,,9.60%,
10%,VA-505,,,,,9.60%,,
10%,WA-500,,,,9.60%,,,
10%,MD-501,,9.60%,,,,,
10%,CO-503,,,,,,,9.60%
10%,CA-507,,,,9.60%,,,
10%,FL-518,,,,,,,9.70%
10%,MN-503,,,,,,9.70%,
10%,AR-500,,,9.70%,,,,
10%,CA-520,,,,,9.70%,,
10%,CA-530,,,9.70%,,,,
10%,LA-500,,,,9.70%,,,
10%,MN-505,,,,,,9.70%,
10%,AR-500,,,,,,9.70%,
10%,TN-509,,,,,,,9.70%
10%,MN-509,,,,,,9.70%,
10%,CA-607,,9.70%,,,,,
10%,NH-501,,,,9.70%,,,
10%,GA-503,,9.70%,,,,,
10%,CA-600,,,,,,,9.70%
10%,MD-501,,,,,9.70%,,
10%,ID-501,,,,,9.70%,,
10%,FL-504,,9.70%,,,,,
10%,FL-515,9.70%,,,,,,
10%,TN-500,,9.70%,,,9.70%,,
10%,MO-500,,,9.70%,,,,
10%,CA-514,9.70%,,,,,,
10%,WA-502,,,,9.70%,,,
10%,ME-500,,,,,,9.70%,
10%,MS-501,,9.80%,,,,,
10%,AZ-500,,,,,,,9.80%
10%,PR-503,,,,9.80%,,,
10%,CA-522,,,,,9.80%,,
10%,VA-505,,,,,,,9.80%
10%,WA-503,,,,9.80%,,,
10%,VA-508,9.80%,,,,,,
10%,CA-503,9.80%,,,,,,
10%,MA-507,,,,,,9.80%,
10%,IL-519,,,,,,9.80%,
10%,NY-516,,9.80%,,,,,
10%,FL-513,,9.80%,,,,,
10%,NJ-507,9.80%,,,,,,
10%,NC-509,,,,,,9.80%,
10%,MD-601,,,,,9.80%,,
10%,CA-511,9.80%,,,,,,
10%,VT-500,,9.80%,,,,,
10%,CA-602,,,,,9.90%,,
10%,NM-501,,,,,,9.90%,
10%,CA-508,,,,,,9.90%,
10%,MN-505,9.90%,,,,,,
10%,PA-501,,,,,,9.90%,
10%,TN-509,,,,,,9.90%,
10%,NJ-516,,,,,,,9.90%
10%,MA-502,,,,,,,9.90%
10%,NY-518,,,,,,9.90%,
10%,MO-606,,,,,,9.90%,
10%,FL-501,,,,9.90%,,,
10%,MD-501,,,,9.90%,,,
10%,LA-507,,,,,9.90%,,
10%,MA-515,9.90%,,,,,,
10%,NY-503,,10.00%,,,,,
10%,AZ-500,,,10.00%,,,,
10%,FL-506,10.00%,,,,,,
10%,NY-503,10.00%,,,,,,
10%,GA-508,10.00%,,,,,,
10%,WA-501,,10.00%,,,,,
10%,MI-509,,,,,,,10.00%
10%,PA-600,10.00%,,,,,,
10%,NC-503,,,,,,10.00%,
10%,IL-520,,10.00%,,,,,
10%,NJ-516,,,10.00%,,,,
10%,MD-505,,,10.00%,,,,
10%,NJ-515,,,10.00%,,,,
10%,GA-505,,,,,,10.00%,
10%,PR-503,,,,,,10.00%,
10%,VA-501,,,,,,10.00%,
10%,AL-504,,,,,,10.00%,
10%,KY-500,,,,10.00%,,,
10%,OK-502,,,10.10%,,,,
10%,PA-603,,,,,,,10.10%
10%,DE-500,,,,,,,10.10%
10%,IL-511,,,,,,,10.10%
10%,GA-501,10.10%,,,,,,
10%,MN-505,,,,10.10%,,,
10%,UT-503,10.10%,,,,,,
10%,AL-504,,,,,10.10%,,
10%,CA-600,,,,10.10%,,,
10%,PA-601,,10.10%,,,,,
10%,CA-521,,,,10.10%,,,
10%,MD-504,,,10.10%,,,,
10%,MI-509,,,,,10.10%,,
10%,MD-501,,,,,,,10.10%
10%,NY-518,,,,,,,10.10%
10%,CA-518,,,,,,,10.10%
10%,MD-505,,10.20%,,,,,
10%,SC-503,,,10.20%,,,,
10%,NY-503,,,,,10.20%,,
10%,NC-501,,10.20%,,,,,
10%,IL-503,,,,,,10.20%,
10%,MO-500,10.20%,,,,,,
10%,CO-503,,,,10.20%,,,
10%,TX-503,,10.20%,,,,,
10%,MD-510,10.20%,,,,,,
10%,FL-510,,,,,,10.20%,
10%,CA-600,,,10.20%,,,,
10%,WA-502,10.30%,,,,,,
10%,FL-513,,,10.30%,,,,
10%,CA-600,,,,,10.30%,,
10%,MN-501,,,,,,,10.30%
10%,CA-505,,,10.30%,,,,
10%,MO-501,,,,,10.30%,,
10%,TN-502,,,,,,,10.30%
10%,FL-512,,,10.30%,,,,
10%,CA-507,,,,,,10.30%,
10%,VA-604,,,,,,10.30%,
10%,OR-502,,,,,10.30%,,
10%,CA-609,10.30%,,,,,,
10%,IL-515,,,10.30%,,,,
10%,FL-505,,,,,,10.30%,
10%,MO-501,,,,,,10.30%,
10%,PA-601,10.30%,,,,,,
10%,MO-600,,,,,,10.30%,
10%,FL-515,,,,10.40%,,,
10%,CA-506,,,10.40%,,,,
10%,MN-501,,,10.40%,,,,
10%,TN-501,,,10.40%,,,,
10%,MA-507,,10.40%,,,,,
10%,FL-514,,10.40%,,,,,
10%,MA-503,10.40%,,,,,,
10%,IL-519,,,,,10.40%,,
10%,MS-500,,10.40%,,,,,
10%,OK-505,,10.40%,,,,,
10%,WA-503,,10.40%,,,,,
10%,ID-501,10.40%,,,,,,
10%,FL-509,,,10.40%,,,,
10%,CA-501,,10.40%,,,,,
10%,NY-513,,,,,,,10.40%
10%,MD-505,,,,10.40%,,,
10%,IL-512,,,,,,,10.40%
10%,PA-603,,,,10.40%,,,
10%,AL-504,,,,,,,10.50%
10%,FL-504,,,10.50%,,,,
10%,MO-501,,,10.50%,,,,
10%,UT-504,,10.50%,,,,,
10%,TN-510,10.50%,10.50%,,,,,
10%,TX-607,,,,,10.50%,,
10%,CA-521,,10.50%,,,,,
10%,MS-500,10.50%,,,,,,
11%,NY-510,10.50%,,,,,,
11%,NY-607,,,10.50%,,,,
11%,FL-501,,,,,,10.50%,
11%,MD-509,,,,10.50%,,,
11%,WA-502,,,,,,10.50%,
11%,VT-500,,,10.50%,,,,
11%,PA-505,,,,,,,10.50%
11%,FL-501,,,,,,,10.50%
11%,CA-608,,10.50%,,,,,
11%,ID-501,,10.60%,,,,,
11%,IN-502,,,,,10.60%,,
11%,CA-600,,,,,,10.60%,
11%,FL-503,,,,,,,10.60%
11%,NY-604,,,,10.60%,,,
11%,VA-502,,,,10.60%,,,
11%,CA-522,,,,10.60%,,,
11%,CO-503,,,,,,10.60%,
11%,VT-501,,,10.60%,,,,
11%,MN-501,,,,10.60%,,,
11%,HI-501,,,,10.60%,,,
11%,WI-502,,,10.60%,,,,
11%,MI-506,,,,,10.60%,,
11%,NY-603,,,,,10.60%,,
11%,CA-522,,10.60%,,,,,
11%,OK-506,,10.60%,,,,,
11%,SD-500,,10.60%,,,,,
11%,AL-503,,,,,,,10.60%
11%,NC-503,,,10.60%,,,,
11%,PA-500,10.60%,,,,,,
11%,PA-510,,10.60%,,,,,
11%,NY-501,,,,10.60%,,,
11%,MA-511,,,,,,,10.60%
11%,CA-501,,,,,,10.70%,
11%,UT-504,,,,,,,10.70%
11%,VA-507,,,,,10.70%,,
11%,PA-603,10.70%,,,,,,
11%,ID-501,,,10.70%,,,,
11%,NY-520,,,,,,,10.70%
11%,CA-522,,,10.70%,,,,
11%,CA-609,,10.70%,,,,,
11%,OK-505,,,,,10.70%,,
11%,PA-510,10.70%,,,,,,
11%,FL-501,10.70%,,,,,,
11%,CA-501,,,,10.70%,,,
11%,NC-505,10.70%,,,,,,
11%,CT-503,,,,10.70%,,,
11%,LA-503,,10.70%,,,,,
11%,CA-604,,,,,10.70%,,
11%,AL-503,,,,,10.70%,,
11%,WV-500,,,,,,,10.70%
11%,PA-511,,,,,,10.70%,
11%,DC-500,,,10.80%,,,,
11%,NY-603,,,,10.80%,,,
11%,NC-502,,,,,10.80%,,
11%,FL-512,,10.80%,,,,,
11%,NJ-509,,,10.80%,,,,
11%,FL-511,,,10.80%,,,,
11%,AR-503,,10.80%,,,,,
11%,KY-500,,,,,,,10.80%
11%,MI-517,,,,10.80%,,,
11%,MN-502,,,,,,,10.80%
11%,CA-614,,,,,,10.80%,
11%,NJ-503,,,,,,10.80%,
11%,CA-512,,,,,,,10.80%
11%,IL-511,,10.80%,,,,,
11%,CA-506,,,,,,,10.80%
11%,MD-601,,,10.90%,,,,
11%,TX-601,,,,,,,10.90%
11%,VA-503,,,,,,,10.90%
11%,NC-500,,,10.90%,,,,
11%,WA-502,,,,,,,10.90%
11%,NY-604,,,10.90%,,,,
11%,NM-501,,,,,10.90%,,
11%,VA-508,,,,,10.90%,,
11%,NY-513,,,,,10.90%,,
11%,FL-501,,,10.90%,,,,
11%,MI-523,,,,,,,10.90%
11%,IL-520,,,,,,10.90%,
11%,MI-503,,,,,11.00%,,
11%,KY-500,,,11.00%,,,,
11%,NY-523,,,11.00%,,,,
11%,NC-502,,,11.00%,,,,
11%,MA-502,,,,11.00%,,,
11%,TN-501,,,,11.00%,,,
11%,AR-503,,,11.00%,,,,
11%,IL-507,,,,11.00%,,,
11%,AR-500,,,,,11.10%,,
11%,CA-508,,,,,11.10%,,
11%,NM-501,,,11.10%,,,,
11%,CA-603,,,,,,11.10%,
11%,OH-504,,,,,,,11.10%
11%,FL-513,,,,,,11.10%,
11%,MD-601,,,,,,11.10%,
11%,LA-509,,,,,,11.10%,
11%,ID-501,,,,11.10%,,,
11%,CA-609,,,,,,,11.10%
11%,CA-518,,,,11.10%,,,
11%,IL-518,,,,11.10%,,,
11%,OK-507,11.10%,,,,,,
11%,PA-603,,,,,11.10%,,
11%,PR-503,,,,,,,11.10%
11%,VA-521,11.10%,,,,,,
11%,ID-501,,,,,,11.10%,
11%,CA-505,,,,,,11.10%,
11%,NC-501,,,,,,11.10%,
11%,VA-508,,,,,,11.10%,
11%,GU-500,,,,,11.10%,,
11%,MA-502,,,,,11.20%,,
11%,NM-501,,11.20%,,,,,
11%,CA-600,,11.20%,,,,,
11%,MI-518,,,,11.20%,,,
11%,TN-509,,,,,11.20%,,
11%,DC-500,11.20%,,,,,,
11%,TX-503,11.20%,,,,,,
11%,NJ-500,,,,,11.20%,,
11%,FL-515,,,11.20%,,,,
11%,OK-500,11.20%,,,,,,
11%,NJ-503,,,,,11.20%,,
11%,FL-509,,,,11.20%,,,
11%,OH-501,,,,,11.20%,,
11%,AK-501,11.20%,,,,,,
11%,CA-530,,,,,,11.20%,
11%,NY-512,,,11.20%,,,,
11%,TX-601,,,,,,11.20%,
11%,IL-501,,,,,11.20%,,
11%,TX-607,,,,,,11.30%,
11%,CA-604,,,,11.30%,,,
11%,VA-513,,,,11.30%,,,
11%,TX-503,,,,,11.30%,,
11%,VA-604,,,,11.30%,,,
11%,GA-504,,,,,11.30%,,
11%,CA-505,,,,11.30%,,,
11%,FL-602,,11.30%,,,,,
11%,DC-500,,11.30%,,,,,
11%,PA-508,,,,,,,11.30%
11%,NY-503,,,,,,11.30%,
11%,MD-503,,,11.30%,,,,
11%,WA-502,,,,,11.30%,,
11%,NJ-504,,,,,,11.30%,
11%,CA-609,,,,,11.30%,,
11%,NC-503,,,,,11.30%,,
11%,MA-507,,,,,,,11.30%
11%,CA-520,,,,,,,11.30%
11%,CA-521,11.40%,,,,,,
11%,NC-502,,11.40%,,,,,
11%,MN-509,,,,,,,11.40%
11%,CA-502,,,,,11.40%,,
11%,OH-501,,11.40%,,,,,
11%,CA-609,,,,11.40%,,,
11%,AL-506,,11.40%,,,,,
11%,TX-503,,,11.40%,,,,
11%,OH-501,,,,11.40%,,,
11%,PA-508,,,11.40%,,,,
11%,HI-500,,11.40%,,,,,
11%,NY-518,,,,,11.40%,,
11%,NY-601,,,,11.40%,,,
11%,VA-513,,,11.40%,,,,
11%,FL-511,,,,,,11.50%,
11%,NC-504,,,,11.50%,,,
11%,MD-501,,,,,,11.50%,
11%,MA-503,,,,11.50%,,,
11%,OH-501,11.50%,,,,,,
11%,NJ-502,,,,,,11.50%,
11%,NY-507,,,,11.50%,,,
11%,GU-500,,11.50%,,,,,
11%,NC-501,,,,,,,11.50%
11%,FL-602,11.50%,,,,,,
11%,HI-500,,,,11.50%,,,
11%,GA-507,,,,,,,11.50%
12%,AR-503,,,,,,,11.50%
12%,CA-505,,,,,11.50%,,
12%,MD-500,11.50%,,,,,,
12%,CA-515,,,,11.50%,,,
12%,TX-607,,,11.50%,,,,
12%,ID-501,,,,,,,11.50%
12%,CA-521,,,,,11.50%,,
12%,MA-508,,11.50%,,,,,
12%,MA-509,,,,,,,11.50%
12%,GA-500,,,,,,,11.50%
12%,OH-507,,,11.60%,,,,
12%,CO-500,,,11.60%,,,,
12%,IN-503,,,11.60%,,,,
12%,MA-509,11.60%,,,,,,
12%,NY-503,,,,11.60%,,,
12%,WA-502,,11.60%,,,,,
12%,VA-600,,11.60%,,,,,
12%,CA-502,,,,11.60%,,,
12%,NY-504,,,,11.60%,,,
12%,PA-508,,,,11.60%,,,
12%,MN-501,,,,,11.60%,,
12%,NH-502,,,,11.60%,,,
12%,VA-603,,,11.60%,,,,
12%,VI-500,,,,,,11.60%,
12%,NJ-515,,,,,11.60%,,
12%,AZ-500,,,,,11.60%,,
12%,CA-512,,,11.70%,,,,
12%,MD-505,11.70%,,,,,,
12%,CA-609,,,11.70%,,,,
12%,PA-502,11.70%,,,,,,
12%,TX-604,,,,,,11.70%,
12%,NC-502,,,,11.70%,,,
12%,NY-510,,,11.70%,,,,
12%,CA-512,,,,11.70%,,,
12%,PA-506,,11.70%,,,,,
12%,MD-503,,,,,,,11.70%
12%,SC-500,,,,,,,11.70%
12%,MA-500,,,,11.70%,,,
12%,VA-508,,,11.70%,,,,
12%,OH-501,,,,,,,11.70%
12%,OK-505,,,,,,,11.70%
12%,GA-508,,11.70%,,,,,
12%,TN-504,,,,,,11.70%,
12%,CA-602,,,,,,11.70%,
12%,MA-503,,,,,11.70%,,
12%,MO-501,,,,,,,11.70%
12%,WA-508,,,,,11.70%,,
12%,CO-500,11.70%,,,,,,
12%,OK-506,11.70%,,,,,,
12%,MI-502,,,,,,11.70%,
12%,PA-506,,,11.70%,,,,
12%,CA-522,,,,,,,11.70%
12%,CA-526,,,,,,11.80%,
12%,NY-512,,,,11.80%,,,
12%,CA-509,,,,,11.80%,,
12%,MD-511,11.80%,,,,,,
12%,NY-503,,,11.80%,,,,
12%,WI-502,,11.80%,,,,,
12%,OH-507,,11.80%,,,,,
12%,OH-507,,,,11.80%,,,
12%,HI-500,,,11.80%,,,,
12%,MI-503,,11.80%,,,,,
12%,GA-504,,,,11.80%,,,
12%,CA-602,,,,,,,11.80%
12%,MN-501,,,,,,11.80%,
12%,FL-505,,,,,,,11.80%
12%,MD-511,,,,,,11.80%,
12%,HI-501,,,,,11.80%,,
12%,IL-519,,,11.80%,,,,
12%,NH-501,,,,,11.80%,,
12%,IN-502,,,,11.80%,,,
12%,MN-506,,,,,,,11.80%
12%,MI-523,11.90%,,,,,,
12%,MI-504,,,,,11.90%,,
12%,TN-501,,,,,,,11.90%
12%,IN-503,,11.90%,,,,,
12%,CA-512,,11.90%,,,,,
12%,MO-501,,11.90%,,,,,
12%,GA-500,,,,11.90%,,,
12%,NY-512,11.90%,,,,,,
12%,CA-519,,,,,,,11.90%
12%,CA-604,,,,,,11.90%,
12%,MO-600,,,,,,,11.90%
12%,OR-500,,,11.90%,,,,
12%,CA-502,,11.90%,,,,,
12%,MI-504,,,11.90%,,,,
12%,CA-504,,,,,,,11.90%
12%,PA-510,,,,,,11.90%,
12%,FL-605,,,,,11.90%,,
12%,AR-501,,,,,,,11.90%
12%,TX-600,,,,,12.00%,,
12%,IL-512,,,12.00%,,,,
12%,NM-500,,,,12.00%,,,
12%,PA-600,,12.00%,,,,,
12%,CA-523,,,,,12.00%,,
12%,MD-506,,12.00%,,,,,
12%,NC-513,,,,,12.00%,,
12%,SD-500,,,,,12.00%,,
12%,NE-500,,12.00%,,,,,
12%,IL-514,,,,,12.00%,,
12%,LA-507,,12.00%,,,,,
12%,TX-503,,,,,,12.00%,
12%,NJ-506,,,,12.00%,,,
12%,NC-503,,,,,,,12.00%
