HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
MD-507,0.569,1,1,1,1,,
MD-508,1,1,1,0.974,1,,
MD-509,1,1,1,1,1,1,1
MD-510,1,1,1,1,1,,
MD-511,0.926,1,1,1,1,1,1
MD-512,0.51,0.753,0.69,0.72,0.773,,
MD-513,1,1,1,1,1,1,0.993
MD-514,,,,,,,0.778
MD-600,0.736,1,1,1,1,1,1
MD-601,1,1,1,1,1,1,1
ME-500,0.92,0.891,0.906,0.924,0.908,0.92,0.935
MI-500,0.826,0.758,0.734,0.71,0.715,0.726,0.789
MI-501,0.943,0.99,0.971,1,1,1,1
MI-502,1,1,1,0.96,0.991,0.975,1
MI-503,0.781,0.764,0.984,0.988,0.94,0.947,
MI-504,0.965,0.988,1,1,1,1,0.883
MI-505,1,0.95,0.949,0.971,1,0.946,0.894
MI-506,1,1,1,0.921,0.913,0.941,0.974
MI-507,1,1,0.622,0.594,1,1,1
MI-508,0.799,0.748,1,1,1,1,1
MI-509,0.954,0.954,0.945,0.946,1,0.709,1
MI-510,1,1,1,1,1,1,1
MI-511,0.647,0.69,0.638,0.66,0.852,0.916,0.927
MI-512,1,0.843,0.818,0.797,1,0.888,0.906
MI-513,0.586,0.917,0.941,,,,
MI-514,0.786,0.779,0.781,0.754,1,1,1
MI-515,1,0.813,0.807,0.85,0.838,1,1
MI-516,1,0.919,1,1,1,1,1
MI-517,1,1,1,1,0.918,1,0.444
MI-518,0.705,1,1,1,1,1,1
MI-519,1,0.966,1,0.942,1,0.78,0.752
MI-523,1,0.963,1,1,1,1,1
MN-500,0.875,0.953,0.935,0.934,0.957,0.766,0.748
MN-501,0.547,0.495,0.604,0.571,0.596,0.644,0.695
MN-502,0.771,0.851,0.881,0.876,0.806,0.763,0.748
MN-503,0.909,0.916,0.908,0.944,0.915,0.973,0.961
MN-504,1,0.833,0.914,0.941,1,1,1
MN-505,0.722,0.706,0.727,0.804,0.804,0.643,0.57
MN-506,0.948,0.957,1,0.953,1,1,0.826
MN-508,1,1,1,1,1,1,1
MN-509,0.961,0.772,0.836,0.863,0.902,0.906,0.926
MN-511,1,0.867,0.86,0.889,0.924,0.929,0.905
MO-500,0.64,0.909,0.614,0.674,0.764,0.738,0.657
MO-501,0.128,0.781,0.838,0.88,0.826,0.853,0.807
MO-503,0.48,0.483,0.488,0.459,1,1,1
MO-600,0.988,0.987,0.944,0.879,0.909,0.941,0.937
MO-602,0.754,0.542,0.389,0.329,0.283,0.274,0.262
MO-603,1,0.856,1,1,1,1,1
MO-604K,,,,,,,
MO-604M,0.872,0.886,0.921,0.873,0.791,0.74,0.974
MO-606,0.472,0.476,0.571,0.495,0.537,0.602,0.496
MP-500,,,,,,,
MS-500,0.766,0.769,0.795,0.932,0.504,0.432,0.644
MS-501,0.746,0.731,0.554,0.724,0.819,1,1
